StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q93,Q16,Q65,Q66,Q91,2_Q80,2_Q84_First Click,2_Q84_Last Click,2_Q84_Page Submit,2_Q84_Click Count,5_Q80,5_Q84_First Click,5_Q84_Last Click,5_Q84_Page Submit,5_Q84_Click Count,6_Q80,6_Q84_First Click,6_Q84_Last Click,6_Q84_Page Submit,6_Q84_Click Count,7_Q80,7_Q84_First Click,7_Q84_Last Click,7_Q84_Page Submit,7_Q84_Click Count,8_Q80,8_Q84_First Click,8_Q84_Last Click,8_Q84_Page Submit,8_Q84_Click Count,1_Q11,1_Q41_First Click,1_Q41_Last Click,1_Q41_Page Submit,1_Q41_Click Count,2_Q11,2_Q41_First Click,2_Q41_Last Click,2_Q41_Page Submit,2_Q41_Click Count,3_Q11,3_Q41_First Click,3_Q41_Last Click,3_Q41_Page Submit,3_Q41_Click Count,4_Q11,4_Q41_First Click,4_Q41_Last Click,4_Q41_Page Submit,4_Q41_Click Count,5_Q11,5_Q41_First Click,5_Q41_Last Click,5_Q41_Page Submit,5_Q41_Click Count,6_Q11,6_Q41_First Click,6_Q41_Last Click,6_Q41_Page Submit,6_Q41_Click Count,7_Q11,7_Q41_First Click,7_Q41_Last Click,7_Q41_Page Submit,7_Q41_Click Count,8_Q11,8_Q41_First Click,8_Q41_Last Click,8_Q41_Page Submit,8_Q41_Click Count,9_Q11,9_Q41_First Click,9_Q41_Last Click,9_Q41_Page Submit,9_Q41_Click Count,10_Q11,10_Q41_First Click,10_Q41_Last Click,10_Q41_Page Submit,10_Q41_Click Count,11_Q11,11_Q41_First Click,11_Q41_Last Click,11_Q41_Page Submit,11_Q41_Click Count,12_Q11,12_Q41_First Click,12_Q41_Last Click,12_Q41_Page Submit,12_Q41_Click Count,13_Q11,13_Q41_First Click,13_Q41_Last Click,13_Q41_Page Submit,13_Q41_Click Count,14_Q11,14_Q41_First Click,14_Q41_Last Click,14_Q41_Page Submit,14_Q41_Click Count,15_Q11,15_Q41_First Click,15_Q41_Last Click,15_Q41_Page Submit,15_Q41_Click Count,16_Q11,16_Q41_First Click,16_Q41_Last Click,16_Q41_Page Submit,16_Q41_Click Count,17_Q11,17_Q41_First Click,17_Q41_Last Click,17_Q41_Page Submit,17_Q41_Click Count,18_Q11,18_Q41_First Click,18_Q41_Last Click,18_Q41_Page Submit,18_Q41_Click Count,19_Q11,19_Q41_First Click,19_Q41_Last Click,19_Q41_Page Submit,19_Q41_Click Count,20_Q11,20_Q41_First Click,20_Q41_Last Click,20_Q41_Page Submit,20_Q41_Click Count,Q96,understanding,Q98,Q99_4,Q100,Q101,base,appleValue,pearValue,mangoValue,orangeValue,bananaValue,limeValue,rewardChance,timeLimit,font,get_budget,get20,Q93 - Parent Topics,Q93 - Topics
8/5/20 15:06,8/5/20 15:16,IP Address,151.57.153.151,100,582,TRUE,8/5/20 15:16,R_12xah9gE0AjWKEx,,,,,41.89039612,12.5124054,anonymous,EN,5d4556c5d1f123001716bae3,Left,7.9,7,Orange,Right,18.767,21.682,22.836,2,Right,5.15,5.15,6.519,1,Left,25.18,25.18,27.113,1,Right,26.984,30.174,32.938,3,Right,4.033,4.033,5.249,1,Right,2.966,2.966,4.105,1,Left,2.607,2.607,4.161,1,Right,2.265,2.265,3.467,1,Left,1.942,1.942,4.279,1,Left,1.957,1.957,3.033,1,Right,2.263,2.263,4.05,1,Left,2.21,3.276,3.952,2,Right,4.072,4.072,5.656,1,Right,4.158,4.158,5.201,1,Left,4.561,4.561,5.742,1,Right,3.862,3.862,5.023,1,Left,5.137,5.137,7.125,1,Left,4.63,5.968,9.358,3,Left,2.696,2.696,4.559,1,Right,2.829,2.829,4.697,1,Left,5.378,5.378,6.431,1,Left,4.728,4.728,6.231,1,Left,2.591,2.591,4.647,1,Left,2.885,4.525,5.143,2,Right,3.727,3.727,5.102,1,All images load well,yes,Male,3000,High School Diploma or equivalent,Both equal,1.1,1.3,3,5,2.2,7,6,10%,10,16,7,0,,
8/5/20 15:09,8/5/20 15:17,IP Address,77.165.231.9,100,493,TRUE,8/5/20 15:17,R_1FPLW0r8YA1YkDE,,,,,51.9992981,4.783401489,anonymous,EN,5dcb016991c2ba7e029b6545,Left,7.9,7,Orange,Right,2.756,2.756,3.829,1,Right,0.105,0.105,2.381,1,Left,14.496,14.496,15.777,1,Right,2.266,2.266,4.319,1,Left,5.788,5.788,6.784,1,Right,1.231,1.231,2.717,1,Left,0.586,0.586,1.977,1,Right,0,0,1.328,0,Left,0.374,0.374,1.498,1,Left,0,0,1.058,0,Right,1.013,1.013,2.911,1,Left,1.111,1.111,2.239,1,Left,2.03,2.03,3.265,1,Left,0,0,0.653,0,Right,0,0,1.24,0,Right,1.566,1.566,3.027,1,Left,1.786,1.786,3.281,1,Left,0.459,0.459,1.532,1,Left,0.655,0.655,6.808,1,Right,1.14,2.442,3.468,2,Left,7.826,7.826,8.703,1,Left,0,0,1.794,0,Left,1.067,1.067,8.261,1,Right,4.078,4.078,5.349,1,Right,1.108,1.108,2.553,1,All images load well,,Female,20000,High School Diploma or equivalent,Both equal,1.1,1.3,3,5,2.2,7,6,10%,10,16,10,1,,
8/5/20 15:11,8/5/20 15:18,IP Address,77.46.44.62,100,448,TRUE,8/5/20 15:18,R_1py5NYF8qvDNVKP,,,,,53.11740112,23.10929871,anonymous,EN,5e9886c0cb28b607b3e7f42f,Left,"7,9",7,Orange,Right,2.314,3.074,3.376,2,Right,5.912,5.912,9.196,1,Right,8.439,8.439,9.96,1,Right,5.321,6.222,9.498,2,Right,26.815,26.815,28.122,1,Right,1.792,2.077,2.699,2,Left,1.358,1.358,4.099,1,Right,1.597,1.597,2.427,1,Left,2.016,2.016,3.655,1,Left,0.654,0.654,1.674,1,Right,1.708,2.441,2.87,2,Right,5.974,6.581,7.365,2,Left,1.206,2.555,3.932,2,Left,1.733,4.122,4.885,2,Right,1.723,1.723,2.726,1,Left,2.741,5.485,5.733,2,Left,8.947,8.947,9.523,1,Left,0.975,0.975,1.932,1,Left,3.278,4.099,4.298,2,Right,1.177,1.177,2.001,1,Left,3.288,5.05,5.795,3,Left,1.208,3.162,3.763,3,Left,0.793,0.793,1.719,1,Left,2.139,2.139,2.914,1,Right,3.691,4.455,5.452,2,There are some images which don't load,no i dont know,Male,200000,Associate's Degree,Orange,1.1,1.3,3,5,2.2,7,6,10%,10,16,7,0,,
8/5/20 15:09,8/5/20 15:19,IP Address,37.47.198.165,100,551,TRUE,8/5/20 15:19,R_1giqvzm4sYHhqzN,,,,,54.37309265,18.58410645,anonymous,EN,5e6ff43e18d1a809cd0b836a,Left,"8,1",7,Orange,Right,0,0,3.478,0,Right,0.84,0.84,3.464,1,Right,1.259,1.259,2.383,1,Right,0.667,0.667,1.452,1,Right,2.486,2.486,3.873,1,Right,0.733,0.733,1.918,1,Left,0,0,0.624,0,Right,0.038,0.038,0.975,1,Left,0,0,1.264,0,Left,2.548,2.548,3.408,1,Right,1.023,1.023,2.783,1,Left,0,0,0.872,0,Left,2.128,5.982,7.415,2,Left,0,0,1.031,0,Right,0.901,0.901,2.264,1,Right,1.231,1.231,3.62,1,Left,1.791,3.775,4.702,3,Right,1.675,1.675,2.718,1,Left,2.037,2.037,2.918,1,Right,0,0,2.622,0,Left,2.971,4.53,5.431,2,Right,1.458,1.458,2.119,1,Left,0.752,0.752,1.497,1,Left,0.23,0.23,4.967,1,Right,3.984,3.984,6.259,1,All images load well,"Yes, that was clear.",Male,30000,Bachelor's Degree,Orange,1.1,1.3,3,5,2.2,7,6,10%,10,16,7,0,,
8/5/20 15:11,8/5/20 15:19,IP Address,90.253.61.48,100,477,TRUE,8/5/20 15:19,R_1LNgO0FM50ea7Jz,,,,,53.82809448,-1.689300537,anonymous,EN,5cf23dc994df330018876744,Left,7.9,7,Orange,Right,11.948,11.948,25.696,1,Right,2.621,2.621,4.101,1,Right,3.495,3.495,4.85,1,Right,7.989,7.989,9.99,1,Right,6.606,6.606,21.303,1,Right,2.715,2.715,4.577,1,Left,2.694,2.694,4.683,1,Right,3.833,3.833,5.53,1,Left,1.874,1.874,3.862,1,Left,1.815,1.815,4.286,1,Right,3.322,3.322,4.654,1,Left,2.107,2.107,4.167,1,Left,2.62,3.931,4.666,2,Left,2.631,2.631,6.095,1,Right,2.798,2.798,6.221,1,Right,3.083,3.083,4.783,1,Left,5.123,5.123,8.156,1,Left,2.925,2.925,4.495,1,Left,3.406,3.406,4.702,1,Right,3.733,6.732,7.771,2,Right,4.118,4.118,6.129,1,Left,5.335,5.335,7.552,1,Left,2.597,2.597,4.515,1,Left,1.766,4.228,6.072,2,Right,3.693,3.693,5.279,1,All images load well,Whether I should be choosing the highest monetary value (which I did) or another thing like which one I thought looked best/attracted me most,Female,70000,Master's Degree,Both equal,1.1,1.3,3,5,2.2,7,6,10%,10,16,2,0,,
8/5/20 15:07,8/5/20 15:20,IP Address,174.116.15.136,100,774,TRUE,8/5/20 15:20,R_ZaujAtNwtRNcoA9,,,,,45.41099548,-75.70970154,anonymous,EN,579540d016a091000112cdf5,Left,7.9,7,Orange,Right,16.779,16.779,17.824,1,Right,15.935,15.935,17.621,1,Right,3.763,3.763,10.008,1,Right,6.574,6.574,10.988,1,Right,36.214,36.214,64.083,1,Right,6.229,6.229,7.219,1,Left,3.271,3.271,8.525,1,Right,3.72,3.72,4.997,1,Left,4.704,4.704,5.606,1,Left,5.295,5.295,9.133,1,Right,4.63,4.63,6.747,1,Left,5.224,5.224,6.935,1,Right,9.866,9.866,10.107,1,Left,8.184,8.184,10.007,1,Left,6.486,6.486,10.01,1,Right,4.379,4.379,5.529,1,Left,8.382,8.382,9.331,1,Left,3.284,3.284,4.553,1,Left,9.861,9.861,10.01,1,Right,9.04,9.04,10.093,1,Left,4.765,4.765,5.618,1,Right,9.309,9.309,10.007,1,Left,8.002,8.002,9.046,1,Left,6.06,8.7,9.746,2,Right,4.233,4.233,5.286,1,All images load well,the instructions were clear,Male,59000,Bachelor's Degree,Both equal,1.1,1.3,3,5,2.2,7,6,10%,10,16,3,0,,
8/5/20 15:10,8/5/20 15:20,IP Address,91.192.90.141,100,638,TRUE,8/5/20 15:20,R_3QYNswx5cK4ZceE,,,,,53.17300415,22.07369995,anonymous,EN,5eea4d6485ba010cd59c2107,Left,7.9,7,Orange,Right,1.137,1.137,2.062,1,Right,1.811,1.811,3.048,1,Right,7.155,7.155,7.96,1,Right,2.756,2.756,3.768,1,Right,2.95,35.545,42.623,3,Right,4.136,4.136,5.407,1,Left,0,0,0.615,0,Right,0.747,0.747,1.752,1,Left,0,0,1.239,0,Left,0,0,0.581,0,Right,1.342,1.342,2.378,1,Left,0.077,1.117,1.625,2,Left,0.717,0.717,2.49,1,Left,0,0,3.388,0,Right,0.629,0.981,2.162,2,Right,2.774,2.774,4.963,1,Left,2.732,2.732,4.233,1,Left,3.119,3.119,4.772,1,Left,8.332,9.436,9.809,2,Right,0.784,0.784,2.9,1,Right,6.754,6.754,7.726,1,Left,7.861,7.861,8.681,1,Left,2.379,2.379,3.503,1,Right,1.31,1.31,3.173,1,,0,0,10.108,0,All images load well,yeah its clear,Male,400000,Bachelor's Degree,Orange,1.1,1.3,3,5,2.2,7,6,10%,10,16,4,0,,
8/5/20 15:11,8/5/20 15:20,IP Address,37.189.0.49,100,586,TRUE,8/5/20 15:20,R_3ni8eOV8hW5WKrH,,,,,41.14860535,-8.610992432,anonymous,EN,5d92b4debda22b00179a2edf,Left,7.9,7,Orange,Right,16.422,16.422,18.132,1,Right,3.767,3.767,5.564,1,Right,19.741,19.741,20.467,1,Right,15.552,15.552,16.406,1,Right,26.294,26.294,27.612,1,Right,2.686,2.686,3.524,1,Left,1.938,1.938,2.856,1,Right,1.588,1.588,2.849,1,Left,1.621,1.621,2.483,1,Left,1.377,1.377,3.047,1,Right,5.371,5.371,8.665,1,Left,1.97,1.97,2.607,1,Left,5.076,5.076,7.018,1,Left,5.899,5.899,6.648,1,Right,3.043,3.043,4.625,1,Left,5.289,5.289,6.582,1,Left,5.576,6.256,7.598,3,Right,6.4,6.4,8.807,1,Right,5.688,5.688,6.853,1,Right,5.212,5.212,6.106,1,Right,8.103,8.103,9.005,1,Left,2.628,2.628,3.81,1,Right,3.147,3.147,5.52,1,Left,3.468,3.468,4.403,1,Right,4.928,4.928,6.829,1,All images load well,The task and instructions were clear enough.,Male,40000,Bachelor's Degree,Orange,1.1,1.3,3,5,2.2,7,6,10%,10,16,6,0,,
8/5/20 15:10,8/5/20 15:20,IP Address,95.95.121.220,100,629,TRUE,8/5/20 15:20,R_2wueQFxUoG5NCC4,,,,,37.13690186,-8.533203125,anonymous,EN,5ede038270fe0e000ab7ae54,Left,7.9,7,Orange,Right,5.914,5.914,7.255,1,Right,2.624,4.06,4.622,2,Right,3.269,3.269,4.817,1,Right,4.928,4.928,6.239,1,Right,6.672,36.737,38.589,2,Right,3.111,3.111,4.739,1,Left,2.047,2.047,3.717,1,Right,2.364,2.364,4.333,1,Left,0.43,0.43,2.244,1,Left,1.527,1.527,3.174,1,Right,3.489,3.489,5.342,1,Left,1.903,1.903,3.981,1,Left,7.883,7.883,9.927,1,Left,2.768,2.768,4.58,1,Left,3.691,3.691,8.476,1,Right,1.775,1.775,3.872,1,Left,4.054,4.054,5.73,1,Left,3.5,3.5,5.091,1,Left,5.045,5.045,6.953,1,Right,2.889,2.889,4.938,1,Right,2.768,2.768,4.627,1,Left,3.882,4.611,6.388,2,Left,2.364,4.428,6.04,2,Left,3.713,5.761,7.505,2,Right,4.86,4.86,6.519,1,All images load well,Every instruction is clear,Male,30000,Associate's Degree,Orange,1.1,1.3,3,5,2.2,7,6,10%,10,16,4,0,,
8/5/20 15:08,8/5/20 15:21,IP Address,187.160.103.251,100,784,TRUE,8/5/20 15:21,R_2wgKRbBZxI63Upk,,,,,25.76570129,-100.2158966,anonymous,EN,5a910c8a6475f900019f8cbc,Left,7.9,7.9,Orange,Right,17.299,17.299,18.879,1,Right,4.567,4.567,6.054,1,Right,29.052,29.052,30.521,1,Right,32.097,32.097,33.85,1,Right,63.666,63.666,65.308,1,Right,4.536,4.536,5.736,1,Left,5.2,5.2,7.539,1,Left,2.597,2.597,4.159,1,Left,2.357,2.357,3.963,1,Left,9.114,9.114,10.113,1,Right,8.809,8.809,10.008,1,Left,7.674,7.674,9.014,1,,0,0,10.108,0,Left,8.611,8.611,10.047,1,Left,9.1,9.1,10.011,1,,0,0,10.007,0,Left,8.906,8.906,10.109,1,Right,7.975,7.975,9.598,1,Left,9.209,9.209,10.109,1,Right,9.583,9.583,10.008,1,Left,4.539,4.539,6.392,1,Right,2.493,2.493,4.016,1,Left,8.741,8.741,10.108,1,Left,7.644,7.644,8.757,1,Left,9.379,9.379,10.01,1,All images load well,yes!,Male,300000,Bachelor's Degree,Both equal,1.1,1.3,3,5,2.2,7,6,10%,10,16,10,0,,
