StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,PID,Q16,Q65,Q66,1_Q80,2_Q80,3_Q80,4_Q80,5_Q80,6_Q80,7_Q80,1_Q11,1_Q41_First Click,1_Q41_Last Click,1_Q41_Page Submit,1_Q41_Click Count,2_Q11,2_Q41_First Click,2_Q41_Last Click,2_Q41_Page Submit,2_Q41_Click Count,3_Q11,3_Q41_First Click,3_Q41_Last Click,3_Q41_Page Submit,3_Q41_Click Count,4_Q11,4_Q41_First Click,4_Q41_Last Click,4_Q41_Page Submit,4_Q41_Click Count,5_Q11,5_Q41_First Click,5_Q41_Last Click,5_Q41_Page Submit,5_Q41_Click Count,6_Q11,6_Q41_First Click,6_Q41_Last Click,6_Q41_Page Submit,6_Q41_Click Count,7_Q11,7_Q41_First Click,7_Q41_Last Click,7_Q41_Page Submit,7_Q41_Click Count,8_Q11,8_Q41_First Click,8_Q41_Last Click,8_Q41_Page Submit,8_Q41_Click Count,9_Q11,9_Q41_First Click,9_Q41_Last Click,9_Q41_Page Submit,9_Q41_Click Count,10_Q11,10_Q41_First Click,10_Q41_Last Click,10_Q41_Page Submit,10_Q41_Click Count,11_Q11,11_Q41_First Click,11_Q41_Last Click,11_Q41_Page Submit,11_Q41_Click Count,12_Q11,12_Q41_First Click,12_Q41_Last Click,12_Q41_Page Submit,12_Q41_Click Count,13_Q11,13_Q41_First Click,13_Q41_Last Click,13_Q41_Page Submit,13_Q41_Click Count,14_Q11,14_Q41_First Click,14_Q41_Last Click,14_Q41_Page Submit,14_Q41_Click Count,15_Q11,15_Q41_First Click,15_Q41_Last Click,15_Q41_Page Submit,15_Q41_Click Count,16_Q11,16_Q41_First Click,16_Q41_Last Click,16_Q41_Page Submit,16_Q41_Click Count,17_Q11,17_Q41_First Click,17_Q41_Last Click,17_Q41_Page Submit,17_Q41_Click Count,18_Q11,18_Q41_First Click,18_Q41_Last Click,18_Q41_Page Submit,18_Q41_Click Count,19_Q11,19_Q41_First Click,19_Q41_Last Click,19_Q41_Page Submit,19_Q41_Click Count,20_Q11,20_Q41_First Click,20_Q41_Last Click,20_Q41_Page Submit,20_Q41_Click Count,understanding,base,appleValue,pearValue,mangoValue,orangeValue,bananaValue,limeValue,rewardChance,timeLimit,Create New Field or Choose From Dropdown...
7/18/20 12:16,7/18/20 12:22,IP Address,89.76.132.240,100,392,TRUE,7/18/20 12:22,R_qFaffCaKC15Pqkp,,,,,50.30380249,18.95249939,anonymous,EN,5ebeb0f92abb6a23399fba3b,Left,16,13,Right,Right,Right,Left,Left,Left,Right,Right,3.056,6.935,7.838,2,Left,6.957,7.29,9.003,2,Left,7.181,7.181,8.016,1,Right,1.461,1.461,2.355,1,Right,6.899,6.899,7.65,1,Left,3.114,3.114,4.786,1,Right,2.896,2.896,3.73,1,Right,8.803,8.803,9.884,1,Right,2.54,3.258,3.594,2,Right,2.858,2.858,5.297,1,Right,9.459,9.767,10.785,2,Right,2.906,2.906,3.702,1,Right,3.718,3.718,4.423,1,Right,2.286,2.286,2.968,1,Left,6.828,8.421,8.867,3,Left,2.459,2.459,3.19,1,Right,1.954,1.954,2.835,1,Right,1.539,1.539,2.3,1,Right,4.356,4.356,5.199,1,Left,8.862,9.728,10.217,2,,1,4,3,5,3,7,6,10%,20,
7/18/20 12:18,7/18/20 12:29,IP Address,188.81.237.177,100,626,TRUE,7/18/20 12:29,R_2UYsRnP7dbmy4Tk,,,,,40.47410583,-8.69039917,anonymous,EN,5df030a82634c709629025bc,Right,left,left,Left,Left,Right,Left,Right,Left,Right,Right,7.839,7.839,8.823,1,Left,10.079,10.079,10.813,1,Right,0.248,13.12,14.199,2,Left,11.511,12.191,12.526,2,Left,0.892,0.892,1.698,1,Left,0,0,5.927,0,Right,0.051,8.93,10.209,3,Left,9.075,9.075,9.953,1,Right,9.836,9.836,10.713,1,Left,7.423,7.423,9.652,1,Right,14.107,14.738,15.075,2,Left,6.758,8.438,8.724,3,Left,7.568,8.5,12.328,2,Right,7.584,7.584,8.374,1,Right,4.15,4.15,8.563,1,Right,0,0,1.709,0,Left,7.75,7.75,8.668,1,Left,11.239,12.046,12.764,2,Left,2.242,2.242,7.681,1,Right,3.486,9.872,11.74,3,no! some of the exercises had equal values and the options still right or left... and the value was the same for each pile,1,4,3,5,3,7,6,10%,20,
7/18/20 12:16,7/18/20 12:34,IP Address,86.166.95.13,100,1085,TRUE,7/18/20 12:34,R_21FVT6qonf4iZRn,,,,,53.55000305,-2.399993896,anonymous,EN,5cec500b0afd6e0018a9e758,,17,13,Right,Right,Right,Left,Left,Right,Right,Right,2.59,11.689,13.033,2,Left,3.167,18.336,20.017,2,Left,1.571,7.904,10.523,2,Left,2.638,13.242,16.149,2,Right,2.916,16.503,18.727,2,Left,3.287,12.829,15.111,2,Right,3.263,14.032,15.908,2,Right,2.209,13.194,14.647,2,Left,12.141,12.141,14.276,1,Right,2.912,14.104,16.446,2,Left,4.605,12.223,13.752,3,Right,5.414,16.404,20.134,2,Left,3.141,16.015,17.597,3,Right,2.908,11.022,13.151,2,Left,6.93,18.273,20.025,4,Right,2.274,9.683,12.095,2,Right,3.479,7.181,9.893,2,Left,2.825,14.922,16.982,2,Left,2.558,13.142,15.044,2,Left,3.182,9.73,12.724,2,,1,4,3,5,3,7,6,10%,20,
7/18/20 12:17,7/18/20 12:38,IP Address,79.191.233.182,100,1277,TRUE,7/18/20 12:38,R_2bV72wkvvHMb4hd,,,,,50.86889648,20.62390137,anonymous,EN, 5d629f1d15bb0e00015e4d94,Right,16,13,Left,Left,Right,Left,Right,Right,Right,Right,9.112,9.112,10.006,1,Left,7.801,8.957,9.24,2,Left,10.173,10.173,10.982,1,Left,12.239,12.239,13.236,1,Left,9.983,9.983,10.772,1,Left,5.238,5.238,6.182,1,Left,15.042,15.042,15.901,1,Left,2.266,11.502,14.285,2,Left,6.92,7.204,7.921,2,Left,7.977,7.977,10.211,1,Left,4.454,4.454,9.734,1,Left,18.648,18.648,19.412,1,Left,10.147,10.147,11.075,1,Left,8.868,8.868,16.899,1,Right,4.835,5.114,6.384,2,Left,4.635,4.635,5.425,1,Right,8.972,9.754,10.034,2,Left,6.129,6.129,6.93,1,Left,16.132,16.132,17.357,1,Left,3.576,3.576,4.434,1,Everything was clear and understandable.,1,4,3,5,3,7,6,10%,20,
7/18/20 12:17,7/18/20 12:38,IP Address,109.48.174.93,100,1305,TRUE,7/18/20 12:38,R_3oU4reFftfjMw1r,,,,,38.52510071,-8.887298584,anonymous,EN,5cfa555a926c930016b925d1,Right,left,left,Left,Left,Left,Left,Left,Left,Left,Right,2.986,2.986,4.435,1,Right,2.174,2.174,3.254,1,Left,2.67,4.115,4.391,3,Right,3.611,5.489,6.701,3,Left,6.37,6.37,7.317,1,Left,7.139,7.139,8.334,1,Left,11.915,11.915,13.301,1,Right,1.698,1.698,3.014,1,Right,2.21,2.21,3.517,1,Left,2.731,7.067,8.475,3,Left,3.01,3.01,4.473,1,Left,3.305,3.305,4.251,1,Left,2.104,2.104,3.353,1,Left,4.691,6.434,7.466,2,Right,1.316,19.491,20.021,2,Left,1.881,1.881,2.941,1,Right,3.848,3.848,4.764,1,Left,2.456,2.456,3.401,1,Left,3.673,3.673,4.942,1,Right,3.359,3.359,4.434,1,,1,4,3,5,3,7,6,10%,20,
7/18/20 12:17,7/18/20 12:47,IP Address,92.21.164.137,100,1820,TRUE,7/18/20 12:47,R_tE7nb4hyDRc9kzf,,,,,52.90440369,-1.23260498,anonymous,EN,5e8ef69291c7771a4ec07eeb,Left,16,13,Left,Left,Right,Left,Left,Left,Left,Right,16.566,16.566,17.741,1,Left,6.591,6.591,7.541,1,Left,4.86,4.86,6.212,1,Right,7.373,7.373,14.273,1,Right,6.298,6.298,10.22,1,Left,5.908,5.908,7.785,1,Right,7.305,13.437,15.586,2,Right,17.461,17.461,18.58,1,Right,3.721,3.721,5.808,1,Right,4.862,4.862,11.767,1,Left,11.949,11.949,13.867,1,Right,7.782,12.683,13.276,2,Left,5.486,9.051,10.649,2,Right,8.683,8.683,12.595,1,Left,8.547,8.547,13.498,1,Left,8.703,8.703,10.579,1,Right,8.605,15.214,16.161,2,Left,9.727,9.727,15.656,1,Left,11.533,11.533,12.788,1,Left,15.962,15.962,17.236,1,sometimes I am not sure if it is a pear or a mango on the photo,1,4,3,5,3,7,6,10%,20,
7/19/20 18:30,7/19/20 18:38,IP Address,77.225.108.12,100,469,TRUE,7/19/20 18:38,R_1oANHhHhG9dMhOz,,,,,43.26260376,-2.923797607,anonymous,EN,5e27350b928d3e94def42ff7,Right,16,13,Left,Right,Right,Right,Left,Right,Right,Right,9.225,9.225,10.366,1,Right,5.455,6.6,6.847,3,,0,0,20.008,0,Right,5.776,5.965,6.669,2,Left,4.076,4.914,5.317,2,Left,3.166,3.166,4.443,1,Right,1.686,1.686,2.471,1,Right,10.388,10.388,11.315,1,Right,3.169,3.534,5.244,2,Right,16.311,16.311,17.161,1,Left,2,2.151,2.872,2,Right,5.7,5.7,6.653,1,Left,1.696,1.946,2.827,2,Left,6.378,7.22,7.663,2,Right,6.457,7.126,7.325,2,Left,5.026,5.026,6.069,1,Right,1.998,1.998,3.413,1,Left,16.709,16.709,17.31,1,Left,4.536,4.536,5.176,1,Left,5.643,7.078,8.003,2,"Yes, everything cristal clear",1,4,3,5,3,7,6,10%,20,
7/19/20 18:30,7/19/20 18:39,IP Address,187.199.191.15,100,556,TRUE,7/19/20 18:39,R_3jZkvxQ06G8FGyd,,,,,19.43569946,-99.14379883,anonymous,EN,545d37b5fdf99b7f9fca22cb,Right,16,13,Right,Left,Right,Left,Left,Right,Left,Right,2.696,2.696,5.49,1,Right,13.035,13.035,14.7,1,Left,3.154,3.154,4.828,1,Right,4.662,4.662,6.268,1,Right,2.945,4.666,5.309,2,Left,4.437,4.437,6.452,1,Right,5.469,5.469,6.876,1,Right,3.647,3.647,6.767,1,Right,4.133,4.133,8.131,1,Right,2.639,2.639,4.805,1,Left,2.505,2.505,3.886,1,Right,7.97,8.831,10.313,2,Left,2.853,2.853,7.997,1,Left,2.723,2.723,12.442,1,Left,8.784,8.784,11.704,1,Left,2.507,2.507,5.354,1,Right,3.183,3.183,5.314,1,Left,3.687,3.687,5.652,1,Left,3.084,3.084,4.606,1,Left,5.312,5.312,6.88,1,yes,1,4,3,5,3,7,6,10%,20,
7/19/20 18:30,7/19/20 18:40,IP Address,84.90.130.76,100,602,TRUE,7/19/20 18:40,R_3oGU2txEO63Q44F,,,,,41.2559967,-8.32989502,anonymous,EN,5e90cb26d84dd93ed9db1951,Right,16,13,Left,Left,Left,Right,Right,Right,Left,Left,3.301,3.301,4.596,1,Left,4.896,10.063,11.36,3,Right,1.927,1.927,3.48,1,Left,8.014,8.014,12.607,1,Left,4.345,4.345,8.546,1,Right,2.636,2.636,4.047,1,Left,4.323,5.836,7.013,2,Left,4.998,4.998,6.012,1,Left,3.1,3.1,4.149,1,Left,4.305,4.305,5.334,1,Right,2.849,2.849,5.226,1,Right,2.996,2.996,3.903,1,Right,1.858,1.858,3.312,1,Right,4.077,4.077,5.28,1,Left,5.409,5.409,7.022,1,Right,2.071,2.071,3.183,1,Left,12.835,12.835,14.297,1,Right,2.831,2.831,3.884,1,Right,4.586,4.586,5.6,1,Right,3.814,3.814,4.744,1,Yes i think it was clear,1,4,3,5,3,7,6,10%,20,
7/19/20 18:30,7/19/20 18:40,IP Address,176.79.151.213,100,608,TRUE,7/19/20 18:40,R_s7iKVytQI6y7yA9,,,,,40.20530701,-8.420394897,anonymous,EN,5d64894fa174790001c3845b,Left,17,13,Right,Right,Left,Left,Left,Right,Right,Right,6.067,6.067,6.901,1,Right,18.73,18.73,19.743,1,Left,8.348,8.348,9.549,1,Right,18.723,18.723,19.972,1,Left,7.675,7.675,8.67,1,Left,10.694,10.694,11.788,1,Left,17.976,17.976,18.935,1,,4.296,4.296,7.268,1,Right,2.094,2.094,6.785,1,Right,13.235,13.235,14.156,1,Left,5.396,5.396,7.534,1,Left,6.857,6.857,7.582,1,Left,5.756,5.756,16.715,1,Left,15.968,15.968,16.983,1,Right,5.224,5.224,5.976,1,Left,15.781,15.781,16.947,1,Right,4.057,4.057,5.168,1,Left,5.312,5.312,6.342,1,Left,7.86,7.86,9.032,1,Right,10.229,11.301,11.718,2,I think it's clear,1,4,3,5,3,7,6,10%,20,
7/19/20 18:30,7/19/20 18:41,IP Address,99.241.78.128,100,666,TRUE,7/19/20 18:41,R_2bTW1ZwhOxnF246,,,,,43.73060608,-79.42169952,anonymous,EN,5f0484307569b9086fd166a1,Right,16,13,Left,Right,Right,Left,Right,Left,Right,Right,4.896,4.896,5.56,1,Left,4.079,4.079,5.106,1,Left,1.499,1.499,2.542,1,Right,1.758,1.758,2.737,1,Left,4.078,4.078,4.9,1,Left,3.178,3.178,4.126,1,Left,2.983,2.983,3.783,1,Right,2.683,2.683,3.448,1,Right,1.733,1.733,2.665,1,Right,9.837,9.837,10.725,1,Left,3.873,3.873,6.254,1,Right,5.708,5.708,6.876,1,Left,2.23,2.23,3.189,1,Right,2.801,2.801,3.706,1,Left,3.616,3.616,4.487,1,Left,1.528,1.528,2.171,1,Left,6.083,6.083,7.263,1,Left,3.023,3.023,5.966,1,Left,2.965,5.395,6.379,2,Left,2.279,2.279,3.068,1,yes,1,4,3,5,3,7,6,10%,20,
7/19/20 18:30,7/19/20 18:43,IP Address,87.5.13.53,100,809,TRUE,7/19/20 18:43,R_AokMa1or7JKQGZz,,,,,40.8526001,14.26849365,anonymous,EN,5e1d27d25a97000b1b41d3bb,Right,16,13,Left,Right,Right,Left,Left,Right,Right,Right,0.985,2.68,4.259,2,Left,1.487,5.208,7.235,2,Left,1.339,1.339,7.634,1,Right,0.589,0.589,9.558,1,Left,0.212,8.232,9.666,2,Left,0.692,0.692,3.893,1,Right,0,0,4.692,0,Right,0,0,3.799,0,Right,0,0,3.741,0,Right,0,0,4.873,0,Left,1.424,1.424,3.25,1,Left,1.687,1.687,5.542,1,Left,1.656,12.116,13.042,3,Left,1.696,1.696,6.57,1,Left,3.778,6.453,8.639,2,Left,0,0,3.316,0,Right,0,0,0.674,0,Left,0,0,2.91,0,Left,10.372,10.372,12.065,1,Left,0.912,0.912,3.715,1,I don't understand why should I pick the stack with less value and why there's two fruits valued 3$,1,4,3,5,3,7,6,10%,20,
7/19/20 18:30,7/19/20 18:43,IP Address,46.189.130.154,100,792,TRUE,7/19/20 18:43,R_2ToC57jZ5HuuAP5,,,,,38.6730957,-8.462997437,anonymous,EN,59dbbdce5de9b000017ebf19,Right,16,13,Right,Left,Right,Left,Left,Right,Left,Right,11.223,12.108,13.203,2,Left,6.97,6.97,11.879,1,Left,3.917,3.917,5.03,1,Right,8.587,8.587,9.946,1,Left,7.108,7.108,8.481,1,Left,11.238,11.238,12.417,1,Right,5.463,5.463,6.683,1,Right,3.7,3.7,7.041,1,Right,2.461,2.461,4.261,1,Right,4.737,4.737,8.263,1,Right,12.017,12.017,14.146,1,Left,5.062,5.062,6.118,1,Left,16.465,16.465,17.495,1,Right,12.923,12.923,14.508,1,Right,6.186,6.186,7.942,1,Left,4.125,4.125,5.384,1,,4.122,4.122,5.392,1,Left,4.963,4.963,6.288,1,Right,4.078,4.771,8.383,2,Left,4.069,4.069,5.531,1,"Yes, they are",1,4,3,5,3,7,6,10%,20,
7/19/20 18:30,7/19/20 18:44,IP Address,184.162.137.162,100,845,TRUE,7/19/20 18:44,R_UgBSiLI5r91P2Ap,,,,,45.40170288,-74.03350067,anonymous,EN,5b54fd70ae722a0001c02b21,Right,16,13,Left,Left,Right,Left,Right,Left,Right,Right,9.531,9.531,11.454,1,Right,4.115,4.115,7.8,1,Left,4.351,4.351,7.127,1,Right,3.776,3.776,5.451,1,Left,14.9,14.9,16.884,1,Left,3.357,3.357,6.548,1,Right,10.775,17.134,18.718,3,Right,2.591,2.591,4.625,1,Right,2.559,2.559,4.772,1,Right,1.523,13.421,16.622,2,Left,2.195,2.195,4.07,1,Left,2.998,2.998,7.614,1,Left,2.28,2.28,4.054,1,Right,15.342,15.342,17.526,1,Right,3.302,3.302,8.145,1,Left,13.316,13.316,15.104,1,Right,2.856,2.856,4.643,1,Left,2.549,2.549,4.718,1,Left,7.987,7.987,14.953,1,Left,3.007,3.007,4.89,1,Clear enough,1,4,3,5,3,7,6,10%,20,
7/19/20 18:30,7/19/20 18:44,IP Address,189.215.19.177,100,874,TRUE,7/19/20 18:44,R_1LRSFdNwIvacFI7,,,,,16.80619812,-99.76100159,anonymous,EN,5eab353d8d71210fdd24ff1e,Right,16,13,Right,Right,Right,Left,Left,Left,Right,Right,0.319,4.378,5.859,4,Left,0.541,14.539,15.492,4,Left,10.886,11.743,12.641,2,Left,0.57,17.735,18.838,4,Left,0.508,12.017,13.117,2,Left,3.616,8.822,9.94,4,Right,3.095,4.119,6.526,2,Left,2.465,19.609,20.009,4,Right,4.718,8.921,12.742,4,Left,5.875,10.508,12.261,4,Left,3.938,15.991,17.041,6,Right,2.272,16.708,18.463,9,Left,4.168,13.208,14.246,3,Right,0.42,8.438,11.087,3,Left,1.853,12.182,14.092,4,Right,2.063,7.125,13.256,3,Right,1.173,11.064,11.978,4,Right,1.815,8.894,12.735,6,Left,3.405,17.755,19.029,5,Left,6.192,10.134,11.29,2,"Yes, the task and the instructions are clear",1,4,3,5,3,7,6,10%,20,
7/19/20 18:30,7/19/20 18:45,IP Address,51.37.137.233,100,926,TRUE,7/19/20 18:45,R_WfmD5wTCInxLhHb,,,,,53.33380127,-6.248794556,anonymous,EN,5ee0ca17c951ed433fcc099e,Right,16,20,Right,Left,Left,Left,Left,Left,Right,Left,8.055,8.055,13.056,1,Right,7.961,7.961,9.01,1,Left,8.727,8.727,9.558,1,Left,6.896,6.896,8.512,1,Left,9.912,9.912,10.919,1,Left,13.75,13.75,15.159,1,Right,7.998,7.998,8.95,1,Right,11.678,11.678,12.779,1,Right,5.251,5.251,6.486,1,Right,9.306,9.306,10.231,1,,0,0,20.011,0,Left,6.471,12.776,14.656,2,Left,9.009,9.009,10.032,1,Left,17.013,17.013,18.031,1,Right,3.009,3.009,5.919,1,Right,10.93,10.93,11.948,1,Right,8,8,9.239,1,Right,14.179,14.179,17.187,1,Right,2.93,2.93,5.986,1,Left,9.686,9.686,10.623,1,"hard to think about fruits, value, and count in the same time",1,4,3,5,3,7,6,10%,20,
