StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,PID,Q16,Q65,Q66,Q91,2_Q80,2_Q84_First Click,2_Q84_Last Click,2_Q84_Page Submit,2_Q84_Click Count,5_Q80,5_Q84_First Click,5_Q84_Last Click,5_Q84_Page Submit,5_Q84_Click Count,6_Q80,6_Q84_First Click,6_Q84_Last Click,6_Q84_Page Submit,6_Q84_Click Count,7_Q80,7_Q84_First Click,7_Q84_Last Click,7_Q84_Page Submit,7_Q84_Click Count,8_Q80,8_Q84_First Click,8_Q84_Last Click,8_Q84_Page Submit,8_Q84_Click Count,1_Q11,1_Q41_First Click,1_Q41_Last Click,1_Q41_Page Submit,1_Q41_Click Count,2_Q11,2_Q41_First Click,2_Q41_Last Click,2_Q41_Page Submit,2_Q41_Click Count,3_Q11,3_Q41_First Click,3_Q41_Last Click,3_Q41_Page Submit,3_Q41_Click Count,4_Q11,4_Q41_First Click,4_Q41_Last Click,4_Q41_Page Submit,4_Q41_Click Count,5_Q11,5_Q41_First Click,5_Q41_Last Click,5_Q41_Page Submit,5_Q41_Click Count,6_Q11,6_Q41_First Click,6_Q41_Last Click,6_Q41_Page Submit,6_Q41_Click Count,7_Q11,7_Q41_First Click,7_Q41_Last Click,7_Q41_Page Submit,7_Q41_Click Count,8_Q11,8_Q41_First Click,8_Q41_Last Click,8_Q41_Page Submit,8_Q41_Click Count,9_Q11,9_Q41_First Click,9_Q41_Last Click,9_Q41_Page Submit,9_Q41_Click Count,10_Q11,10_Q41_First Click,10_Q41_Last Click,10_Q41_Page Submit,10_Q41_Click Count,11_Q11,11_Q41_First Click,11_Q41_Last Click,11_Q41_Page Submit,11_Q41_Click Count,12_Q11,12_Q41_First Click,12_Q41_Last Click,12_Q41_Page Submit,12_Q41_Click Count,13_Q11,13_Q41_First Click,13_Q41_Last Click,13_Q41_Page Submit,13_Q41_Click Count,14_Q11,14_Q41_First Click,14_Q41_Last Click,14_Q41_Page Submit,14_Q41_Click Count,15_Q11,15_Q41_First Click,15_Q41_Last Click,15_Q41_Page Submit,15_Q41_Click Count,16_Q11,16_Q41_First Click,16_Q41_Last Click,16_Q41_Page Submit,16_Q41_Click Count,17_Q11,17_Q41_First Click,17_Q41_Last Click,17_Q41_Page Submit,17_Q41_Click Count,18_Q11,18_Q41_First Click,18_Q41_Last Click,18_Q41_Page Submit,18_Q41_Click Count,19_Q11,19_Q41_First Click,19_Q41_Last Click,19_Q41_Page Submit,19_Q41_Click Count,20_Q11,20_Q41_First Click,20_Q41_Last Click,20_Q41_Page Submit,20_Q41_Click Count,Q96,understanding,Q98,Q99_4,Q100,Q101,base,appleValue,pearValue,mangoValue,orangeValue,bananaValue,limeValue,rewardChance,timeLimit,font,get_budget,get20,Q93 - Parent Topics,Q93 - Topics
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Enter your Prolific ID:,"The left pile has 1 apple and 3 oranges. The right pile has 2 oranges and 2 apples. Which pile has a larger value?

 


Unit Apple Value: $[Field-appleValue]

Unit Orange Value: $[Field-orangeValue]","The left pile has three oranges and one apple. What is the total value of left pile? (enter answer as a number without $ sign)  




 

Unit Apple Value: $[Field-appleValue]

Unit Orange Value: $[Field-orangeValue]","The left pile has two apples and two oranges. What is the payoff of that pile? (enter answer as a number without dollar sign)  
 


 

Unit Apple Value: $[Field-appleValue]

Unit Orange Value: $[Field-orangeValue]",Hopefully you have already memorized the unit value of apple and orange. Which one of them has a higher value per unit?,flip_img_1.jpg - 2_Q80,Timing - flip_img_1.jpg - Timing - First Click,Timing - flip_img_1.jpg - Timing - Last Click,Timing - flip_img_1.jpg - Timing - Page Submit,Timing - flip_img_1.jpg - Timing - Click Count,flip_img_9.jpg - 5_Q80,Timing - flip_img_9.jpg - Timing - First Click,Timing - flip_img_9.jpg - Timing - Last Click,Timing - flip_img_9.jpg - Timing - Page Submit,Timing - flip_img_9.jpg - Timing - Click Count,flip_img_22.jpg - 6_Q80,Timing - flip_img_22.jpg - Timing - First Click,Timing - flip_img_22.jpg - Timing - Last Click,Timing - flip_img_22.jpg - Timing - Page Submit,Timing - flip_img_22.jpg - Timing - Click Count,flip_img_26.jpg - 7_Q80,Timing - flip_img_26.jpg - Timing - First Click,Timing - flip_img_26.jpg - Timing - Last Click,Timing - flip_img_26.jpg - Timing - Page Submit,Timing - flip_img_26.jpg - Timing - Click Count,img_2.jpg - 8_Q80,Timing - img_2.jpg - Timing - First Click,Timing - img_2.jpg - Timing - Last Click,Timing - img_2.jpg - Timing - Page Submit,Timing - img_2.jpg - Timing - Click Count,flip_img_25.jpg - 1_Q11,Timing - flip_img_25.jpg - Timing - First Click,Timing - flip_img_25.jpg - Timing - Last Click,Timing - flip_img_25.jpg - Timing - Page Submit,Timing - flip_img_25.jpg - Timing - Click Count,img_27.jpg - 2_Q11,Timing - img_27.jpg - Timing - First Click,Timing - img_27.jpg - Timing - Last Click,Timing - img_27.jpg - Timing - Page Submit,Timing - img_27.jpg - Timing - Click Count,flip_img_9.jpg - 3_Q11,Timing - flip_img_9.jpg - Timing - First Click,Timing - flip_img_9.jpg - Timing - Last Click,Timing - flip_img_9.jpg - Timing - Page Submit,Timing - flip_img_9.jpg - Timing - Click Count,img_9.jpg - 4_Q11,Timing - img_9.jpg - Timing - First Click,Timing - img_9.jpg - Timing - Last Click,Timing - img_9.jpg - Timing - Page Submit,Timing - img_9.jpg - Timing - Click Count,img_10.jpg - 5_Q11,Timing - img_10.jpg - Timing - First Click,Timing - img_10.jpg - Timing - Last Click,Timing - img_10.jpg - Timing - Page Submit,Timing - img_10.jpg - Timing - Click Count,flip_img_53.jpg - 6_Q11,Timing - flip_img_53.jpg - Timing - First Click,Timing - flip_img_53.jpg - Timing - Last Click,Timing - flip_img_53.jpg - Timing - Page Submit,Timing - flip_img_53.jpg - Timing - Click Count,img_53.jpg - 7_Q11,Timing - img_53.jpg - Timing - First Click,Timing - img_53.jpg - Timing - Last Click,Timing - img_53.jpg - Timing - Page Submit,Timing - img_53.jpg - Timing - Click Count,img_28.jpg - 8_Q11,Timing - img_28.jpg - Timing - First Click,Timing - img_28.jpg - Timing - Last Click,Timing - img_28.jpg - Timing - Page Submit,Timing - img_28.jpg - Timing - Click Count,img_15.jpg - 9_Q11,Timing - img_15.jpg - Timing - First Click,Timing - img_15.jpg - Timing - Last Click,Timing - img_15.jpg - Timing - Page Submit,Timing - img_15.jpg - Timing - Click Count,flip_img_30.jpg - 10_Q11,Timing - flip_img_30.jpg - Timing - First Click,Timing - flip_img_30.jpg - Timing - Last Click,Timing - flip_img_30.jpg - Timing - Page Submit,Timing - flip_img_30.jpg - Timing - Click Count,flip_img_54.jpg - 11_Q11,Timing - flip_img_54.jpg - Timing - First Click,Timing - flip_img_54.jpg - Timing - Last Click,Timing - flip_img_54.jpg - Timing - Page Submit,Timing - flip_img_54.jpg - Timing - Click Count,flip_img_6.jpg - 12_Q11,Timing - flip_img_6.jpg - Timing - First Click,Timing - flip_img_6.jpg - Timing - Last Click,Timing - flip_img_6.jpg - Timing - Page Submit,Timing - flip_img_6.jpg - Timing - Click Count,flip_img_12.jpg - 13_Q11,Timing - flip_img_12.jpg - Timing - First Click,Timing - flip_img_12.jpg - Timing - Last Click,Timing - flip_img_12.jpg - Timing - Page Submit,Timing - flip_img_12.jpg - Timing - Click Count,flip_img_18.jpg - 14_Q11,Timing - flip_img_18.jpg - Timing - First Click,Timing - flip_img_18.jpg - Timing - Last Click,Timing - flip_img_18.jpg - Timing - Page Submit,Timing - flip_img_18.jpg - Timing - Click Count,flip_img_29.jpg - 15_Q11,Timing - flip_img_29.jpg - Timing - First Click,Timing - flip_img_29.jpg - Timing - Last Click,Timing - flip_img_29.jpg - Timing - Page Submit,Timing - flip_img_29.jpg - Timing - Click Count,img_29.jpg - 16_Q11,Timing - img_29.jpg - Timing - First Click,Timing - img_29.jpg - Timing - Last Click,Timing - img_29.jpg - Timing - Page Submit,Timing - img_29.jpg - Timing - Click Count,img_17.jpg - 17_Q11,Timing - img_17.jpg - Timing - First Click,Timing - img_17.jpg - Timing - Last Click,Timing - img_17.jpg - Timing - Page Submit,Timing - img_17.jpg - Timing - Click Count,img_54.jpg - 18_Q11,Timing - img_54.jpg - Timing - First Click,Timing - img_54.jpg - Timing - Last Click,Timing - img_54.jpg - Timing - Page Submit,Timing - img_54.jpg - Timing - Click Count,img_52.jpg - 19_Q11,Timing - img_52.jpg - Timing - First Click,Timing - img_52.jpg - Timing - Last Click,Timing - img_52.jpg - Timing - Page Submit,Timing - img_52.jpg - Timing - Click Count,flip_img_52.jpg - 20_Q11,Timing - flip_img_52.jpg - Timing - First Click,Timing - flip_img_52.jpg - Timing - Last Click,Timing - flip_img_52.jpg - Timing - Page Submit,Timing - flip_img_52.jpg - Timing - Click Count,Do the images load well?,"Overall, do you think the task and the instruction is clear enough? If not, which part of the task confuses you most?",What is your gender?,What is your total household income for the year 2019? (don't enter dollar sign) - $,What is your highest level of education?,What fruit did you feel a preference towards?,base,appleValue,pearValue,mangoValue,orangeValue,bananaValue,limeValue,rewardChance,timeLimit,font,get_budget,get20,Q93 - Parent Topics,Q93 - Topics
8/4/20 17:23,8/4/20 17:32,IP Address,81.161.193.152,100,534,True,8/4/20 17:32,R_3nTn8wE2SUo9t5v,,,,,51.9611969,17.50230408,anonymous,EN,5d61c41048b8f1001915f01f,Left,5.8,7,Orange,Right,4.794,6.013,6.359,2,Right,0,0,0.858,0,Right,3.697,3.697,4.596,1,Right,0.588,4.139,4.854,3,Left,1.779,1.779,2.083,1,Right,6.401,6.401,8.607,1,Left,0,0,2.799,0,Right,0,0,5.296,0,Left,0,0,3.87,0,Left,3.754,4.098,4.508,2,Right,2.984,2.984,5.975,1,Right,2.002,2.002,2.616,1,Right,2.704,2.704,3.382,1,Left,0,0,5.305,0,,0,0,11.084,0,Right,5.574,8.28,9.498,4,Right,0,0,6.704,0,Right,3.273,3.273,4.042,1,Right,6.15,6.15,7.507,1,Right,0.302,0.302,1.065,1,Left,0,0,1.139,0,Left,0.646,1.02,1.371,2,Right,4.917,4.917,7.254,1,Right,0.581,0.8,1.143,2,,0,0,11.227,0,All images load well,its clear enough,Male,10000,High School Diploma or equivalent,Orange,1.10,1.3,3,5,2.2,7,6,10%,10,16,4,0,,
8/4/20 17:30,8/4/20 17:36,IP Address,178.237.234.125,100,363,True,8/4/20 17:36,R_ZIG5OBp4l5K3xap,,,,,39.47050476,-0.376495361,anonymous,EN,5d852b272a218500015f6147,Left,7.9,5.7,Orange,Right,4.964,8.13,8.882,3,Right,1.186,2.337,3.459,2,Right,1.51,3.01,4.082,2,Right,0.892,3.09,4.766,3,Left,2.291,4.199,5.412,3,Right,0.836,3.985,4.989,3,Left,1.464,2.474,3.588,2,Right,1.37,2.342,3.741,2,Left,0.209,3.686,4.854,3,Left,1.425,3.52,4.074,3,Right,1.813,4.436,5.397,3,Left,1.239,3.78,4.866,3,Left,0.871,2.022,2.982,2,Left,2.142,3.048,4.008,2,Right,1.41,2.413,3.707,2,Left,1,2.374,3.692,2,Right,0.639,3.514,4.474,4,Left,2.099,7.178,8.316,3,Right,1.064,2.209,3.251,2,Right,0.214,3.222,3.655,5,Left,1.012,2.43,3.487,3,Left,1.196,2.318,3.753,2,Left,1.69,7.225,8.305,4,Left,4.26,5.374,6.469,2,Left,0.586,1.811,3.418,2,All images load well,,Female,32000,High School Diploma or equivalent,Orange,1.10,1.3,3,5,2.2,7,6,10%,10,16,9,0,,
8/4/20 17:29,8/4/20 17:37,IP Address,213.22.176.203,100,469,True,8/4/20 17:37,R_3pc29kj4jp96bHt,,,,,41.27659607,-8.376205444,anonymous,EN,5ea96851a879f0059741c4cb,Left,,right,Orange,Right,2.168,2.168,3.886,1,Right,1.687,1.687,3.316,1,Right,8.736,8.736,30.736,1,Right,2.972,2.972,12.558,1,Left,3.666,3.666,6.387,1,Right,1.385,1.385,3.263,1,Left,4.03,4.03,7.035,1,Right,1.324,1.324,2.993,1,Left,1.428,1.428,3.391,1,Left,1.403,1.403,3.971,1,Right,2.854,2.854,5.398,1,Left,1.824,1.824,4.562,1,Left,2.197,2.197,5.502,1,Left,1.827,1.827,5.952,1,Right,2.119,2.119,3.403,1,Right,5.44,5.44,7.039,1,Right,2.267,2.267,4.165,1,Left,7.765,7.765,9.375,1,Left,2.558,7.635,10.01,2,Right,3.15,3.15,6.56,1,Left,1.245,1.245,2.74,1,Left,1.949,1.949,3.814,1,Right,4.188,4.188,6.009,1,Right,1.624,1.624,3.223,1,Left,1.17,1.17,3.122,1,All images load well,Only getting ten seconds to respond,Female,i don't know honestly,High School Diploma or equivalent,Orange,1.10,1.3,3,5,2.2,7,6,10%,10,16,7,0,,
8/4/20 17:28,8/4/20 17:37,IP Address,93.34.155.140,100,532,True,8/4/20 17:37,R_1hWFZUERSVbFWw5,,,,,45.07249451,7.687698364,anonymous,EN,5dc4177635fd0c2de2b2194a,Left,7.9,7,Orange,Right,2.956,3.342,18.284,2,Right,2.283,3.355,3.812,2,Right,6.784,6.784,7.826,1,Right,4.572,4.572,5.965,1,Right,29.421,30.445,34.408,3,Right,2.879,2.879,3.9,1,Left,3.039,3.039,4.049,1,Right,1.684,1.972,2.95,2,Left,2.098,2.098,3.394,1,Left,3.177,3.177,5.963,1,Right,5.892,5.892,7.029,1,Left,5.971,6.635,7.669,2,Left,5.164,5.164,8.836,1,Left,3.696,3.696,6.874,1,Right,1.69,1.69,3.036,1,Right,4.692,4.692,5.909,1,Left,3.546,3.546,5.267,1,Left,7.809,7.809,8.964,1,Right,7.292,7.292,9.289,1,Right,3.095,3.095,6.753,1,Left,7.825,7.825,9.172,1,Right,7.502,7.502,9.29,1,Left,6.98,6.98,8.401,1,Left,8.263,8.263,9.401,1,Right,4.667,4.667,5.701,1,All images load well,very clear,Male,75000,High School Diploma or equivalent,Both equal,1.10,1.3,3,5,2.2,7,6,10%,10,16,2,0,,
8/4/20 17:31,8/4/20 17:39,IP Address,188.250.126.134,100,469,True,8/4/20 17:39,R_2YSAclsEHndtADX,,,,,40.64430237,-8.645492554,anonymous,EN,5c6d74852f21670001f8eacb,Left,7.9,7,Orange,,0,0,13.908,0,Right,4.23,4.23,5.66,1,Right,2.602,3.663,4.786,2,Right,3.785,3.785,4.942,1,Left,2.325,2.325,3.69,1,Right,4.083,4.083,4.943,1,Left,2.781,2.781,3.564,1,Right,2.754,2.754,3.922,1,Left,1.728,1.728,3.255,1,Left,1.318,1.318,2.561,1,Right,4.694,4.694,5.948,1,Left,2.598,2.598,5.001,1,Left,2.335,2.335,5.807,1,Left,1.646,1.646,3.049,1,Right,1.829,1.829,2.697,1,Left,5.671,5.671,9.188,1,Right,5.215,5.215,6.94,1,Right,2.618,2.618,4.42,1,Right,3.833,3.833,5.163,1,Right,2.341,2.341,3.213,1,Left,3.597,3.597,4.723,1,Left,2.115,2.115,3.111,1,Left,8.988,8.988,9.95,1,Left,3.879,3.879,6.301,1,Right,1.809,6.403,8.612,2,All images load well,it's all clear,Female,10000,Bachelor's Degree,Orange,1.10,1.3,3,5,2.2,7,6,10%,10,16,5,0,,
8/4/20 17:31,8/4/20 17:39,IP Address,89.73.246.226,100,489,True,8/4/20 17:39,R_2xyeZ4uOViHComb,,,,,51.22779846,22.5388031,anonymous,EN,5bfda58206c0910001be3d14,Left,7.9,7,Orange,Right,1.818,1.818,2.707,1,Right,1.311,1.311,2.104,1,Right,2.543,2.543,3.925,1,Right,1.637,1.637,2.782,1,Left,12.714,12.714,13.486,1,Right,2.3,2.3,4.397,1,Left,0,0,1.35,0,Right,0,0,1.728,0,Left,0,0,2.127,0,Left,0,0,1.87,0,Right,0.17,0.17,1.844,1,Left,0.717,0.717,1.863,1,Left,1.596,1.596,6.459,1,Left,0.519,0.519,1.602,1,Right,2.656,2.656,6.191,1,Right,2.871,2.871,7.562,1,Right,1.291,1.291,2.268,1,Left,4.161,4.161,6.234,1,Left,5.954,5.954,8.21,1,Right,0.613,0.613,2.6,1,Left,0.348,0.348,1.606,1,Left,0.005,0.005,2.078,1,Left,3.39,3.39,4.234,1,Right,0.183,0.183,2.933,1,Left,1.357,1.357,4.314,1,All images load well,it was clear,Male,40000,High School Diploma or equivalent,Orange,1.10,1.3,3,5,2.2,7,6,10%,10,16,8,0,,
8/4/20 17:31,8/4/20 17:40,IP Address,168.149.234.174,100,524,True,8/4/20 17:40,R_3dYvtRwHDDCLhjy,,,,,44.63439941,-63.5821991,anonymous,EN,5de021677f57a309bfc56ac6,Left,7.9,7.0,Orange,Right,46.257,46.257,49.621,1,Right,2.986,2.986,4.312,1,Right,4.386,4.386,5.917,1,Right,4.029,4.029,5.319,1,Right,27.513,27.513,28.805,1,Right,5.538,5.538,6.81,1,Left,2.92,2.92,5.112,1,Right,2.873,2.873,4.22,1,Left,2.847,2.847,4.292,1,Left,3.032,3.032,4.471,1,Right,2.663,2.663,4.837,1,Left,4.174,4.174,6.699,1,Right,6.415,6.415,8.244,1,Left,4.152,4.152,5.392,1,Right,5.959,5.959,7.846,1,Right,5.935,5.935,7.495,1,,8.102,8.102,10.011,1,Left,5.917,7.146,8.427,2,Left,0.301,6.787,8.262,3,Right,5.319,5.319,6.469,1,Left,5.56,5.56,6.815,1,Right,8.544,8.544,9.649,1,Left,7.574,7.574,9.151,1,Left,5.143,5.143,6.399,1,Left,5.17,5.17,6.528,1,All images load well,Instructions were clear. Size of radio buttons was not good! Too small.,Female,75000,Master's Degree,Orange,1.10,1.3,3,5,2.2,7,6,10%,10,16,1,0,,
8/4/20 17:31,8/4/20 17:40,IP Address,189.203.103.173,100,565,True,8/4/20 17:40,R_XnP0EEuO2vbpUFr,,,,,20.67590332,-103.3375015,anonymous,EN,5f23157170fcfd08d6b5ab55,Left,7.9,7,Orange,Right,3.604,3.604,6.003,1,Right,3.345,3.345,4.893,1,Right,2.695,2.695,23.429,1,Right,18.989,18.989,23.447,1,Right,3.594,26.706,44.727,2,Right,6.513,6.513,7.392,1,Left,6.415,6.415,7.168,1,Right,2.834,2.834,3.76,1,Left,3.539,3.539,4.427,1,Left,2.546,2.546,8.435,1,Right,4.298,5.188,6.857,2,Left,5.101,5.101,6.134,1,Left,5.025,5.025,5.74,1,Left,1.777,1.777,3.57,1,Right,4.65,4.65,5.452,1,Right,5.797,5.797,7.057,1,Right,9.801,9.801,10.008,1,Left,6.884,6.884,7.94,1,Left,8.236,9.474,10.008,2,Right,4.651,4.651,5.433,1,Left,4.066,4.066,5.55,1,Right,8.821,8.821,9.694,1,Left,9.113,9.113,9.876,1,Left,4.803,4.803,5.679,1,Right,8.717,8.717,9.448,1,All images load well,they were clear enough,Male,0,High School Diploma or equivalent,Orange,1.10,1.3,3,5,2.2,7,6,10%,10,16,4,0,,
8/4/20 17:31,8/4/20 17:41,IP Address,190.22.153.135,100,603,True,8/4/20 17:41,R_2zf0afJq6NeZPCF,,,,,-33.45129395,-70.66529846,anonymous,EN,5e90f207f9c9d141f4b14def,Left,7.9,7,Orange,Right,5.955,5.955,9.514,1,Right,3.413,3.413,8.146,1,Right,10.37,10.37,11.338,1,Right,6.771,6.771,8.013,1,Right,18.672,18.672,19.907,1,Right,2.706,2.706,3.696,1,Left,1.858,1.858,3.208,1,Right,3.393,3.393,4.666,1,Left,1.692,1.692,2.743,1,Left,1.07,1.07,4.557,1,Right,3.324,3.324,5.702,1,Left,3.469,3.469,6.91,1,Left,1.216,1.216,2.743,1,Left,1.284,1.284,2.352,1,Right,4.479,4.479,5.556,1,Left,3.286,3.286,4.523,1,Right,8.792,8.792,10.082,1,Left,8.366,8.366,9.451,1,Right,4.7,4.7,5.987,1,,0,0,10.009,0,Left,5.614,5.614,7.405,1,Right,9.828,9.828,10.007,1,,0,0,10.007,0,Right,3.075,3.075,4.256,1,,0,0,10.008,0,All images load well,Didnt really know if Í shgould pick the most expensive one or what ,Male,5000,Bachelor's Degree,Orange,1.10,1.3,3,5,2.2,7,6,10%,10,16,8,0,,
