StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q93,Q16,Q65,Q66,Q91,2_Q80,2_Q84_First Click,2_Q84_Last Click,2_Q84_Page Submit,2_Q84_Click Count,5_Q80,5_Q84_First Click,5_Q84_Last Click,5_Q84_Page Submit,5_Q84_Click Count,6_Q80,6_Q84_First Click,6_Q84_Last Click,6_Q84_Page Submit,6_Q84_Click Count,7_Q80,7_Q84_First Click,7_Q84_Last Click,7_Q84_Page Submit,7_Q84_Click Count,8_Q80,8_Q84_First Click,8_Q84_Last Click,8_Q84_Page Submit,8_Q84_Click Count,1_Q11,1_Q41_First Click,1_Q41_Last Click,1_Q41_Page Submit,1_Q41_Click Count,2_Q11,2_Q41_First Click,2_Q41_Last Click,2_Q41_Page Submit,2_Q41_Click Count,3_Q11,3_Q41_First Click,3_Q41_Last Click,3_Q41_Page Submit,3_Q41_Click Count,4_Q11,4_Q41_First Click,4_Q41_Last Click,4_Q41_Page Submit,4_Q41_Click Count,5_Q11,5_Q41_First Click,5_Q41_Last Click,5_Q41_Page Submit,5_Q41_Click Count,6_Q11,6_Q41_First Click,6_Q41_Last Click,6_Q41_Page Submit,6_Q41_Click Count,7_Q11,7_Q41_First Click,7_Q41_Last Click,7_Q41_Page Submit,7_Q41_Click Count,8_Q11,8_Q41_First Click,8_Q41_Last Click,8_Q41_Page Submit,8_Q41_Click Count,9_Q11,9_Q41_First Click,9_Q41_Last Click,9_Q41_Page Submit,9_Q41_Click Count,10_Q11,10_Q41_First Click,10_Q41_Last Click,10_Q41_Page Submit,10_Q41_Click Count,11_Q11,11_Q41_First Click,11_Q41_Last Click,11_Q41_Page Submit,11_Q41_Click Count,12_Q11,12_Q41_First Click,12_Q41_Last Click,12_Q41_Page Submit,12_Q41_Click Count,13_Q11,13_Q41_First Click,13_Q41_Last Click,13_Q41_Page Submit,13_Q41_Click Count,14_Q11,14_Q41_First Click,14_Q41_Last Click,14_Q41_Page Submit,14_Q41_Click Count,15_Q11,15_Q41_First Click,15_Q41_Last Click,15_Q41_Page Submit,15_Q41_Click Count,16_Q11,16_Q41_First Click,16_Q41_Last Click,16_Q41_Page Submit,16_Q41_Click Count,17_Q11,17_Q41_First Click,17_Q41_Last Click,17_Q41_Page Submit,17_Q41_Click Count,18_Q11,18_Q41_First Click,18_Q41_Last Click,18_Q41_Page Submit,18_Q41_Click Count,19_Q11,19_Q41_First Click,19_Q41_Last Click,19_Q41_Page Submit,19_Q41_Click Count,20_Q11,20_Q41_First Click,20_Q41_Last Click,20_Q41_Page Submit,20_Q41_Click Count,Q96,understanding,Q98,Q99_4,Q100,Q101,base,appleValue,pearValue,mangoValue,orangeValue,bananaValue,limeValue,rewardChance,timeLimit,font,get_budget,get20
7/29/20 15:41,7/29/20 15:47,IP Address,188.80.255.219,100,385,TRUE,7/29/20 15:47,R_1FyWyATn14HAVUZ,,,,,41.55149841,-8.420501709,anonymous,EN,57a3ad5670c76a00012467e7,Left,7.9,7,Orange,Right,5.569,5.569,6.458,1,Right,2.59,2.59,3.484,1,Right,10.564,10.564,11.211,1,Right,11.172,11.172,12.034,1,Left,9.062,9.062,9.701,1,Right,2.165,2.165,2.852,1,Left,1.328,1.328,1.999,1,Right,1.429,1.429,2.197,1,Left,1.408,1.408,2.153,1,Left,1.544,1.544,2.559,1,Right,7.966,7.966,9.618,1,Left,1.724,1.724,2.355,1,Left,1.381,1.381,3.14,1,Left,1.593,1.593,2.408,1,Right,1.734,1.734,2.654,1,Left,15.286,15.286,16.174,1,Left,12.139,15.57,16.553,2,Left,3.248,14.976,18.696,2,Left,6.911,6.911,7.711,1,Right,2.47,2.47,3.22,1,Left,2.366,7.535,8.293,2,Right,3.864,15.712,17.848,2,Left,17.721,18.657,19.417,2,Left,1.844,1.844,2.594,1,Right,1.323,2.46,4.412,2,All images load well,The task is very clear,Male,25000,High School Diploma or equivalent,Orange,1.3,1.3,3,5,2.2,7,6,10%,20,16,4,0
7/29/20 15:41,7/29/20 15:49,IP Address,88.64.215.79,100,450,TRUE,7/29/20 15:49,R_80wmt2Z7UdEY8QV,,,,,49.84539795,9.603607178,anonymous,EN,5e43517335a4e41f04a61607,Left,7.9,7,Orange,Right,0.211,0.211,8.682,1,Right,2.152,2.152,3.747,1,Right,4.139,4.139,5.283,1,Right,3.115,3.115,4.136,1,Left,17.094,17.094,21.715,1,Right,3.173,3.173,3.98,1,Left,1.909,1.909,3.076,1,Right,4.41,4.41,5.144,1,Left,2.095,2.095,3.441,1,Left,2.591,2.591,12.202,1,Right,1.73,1.73,4.496,1,Left,2.403,2.403,3.331,1,Left,3.424,3.424,8.942,1,Left,2.276,2.276,3.08,1,Right,4.018,4.018,5.095,1,Left,9.423,9.423,10.249,1,Left,7.151,7.151,8.009,1,Left,3.504,3.504,6.417,1,Left,12.513,12.513,13.429,1,Right,13.079,14.218,16.21,2,Left,6.996,6.996,11.158,1,Right,19.329,19.484,20.106,2,Right,3.372,3.372,11.822,1,Left,3.144,3.968,4.926,2,Right,4.859,6.36,7.268,3,All images load well,The instructions were clear enough.,Male,110000,High School Diploma or equivalent,Both equal,1.3,1.3,3,5,2.2,7,6,10%,20,16,1,0
7/29/20 15:40,7/29/20 15:49,IP Address,125.238.136.137,100,513,TRUE,7/29/20 15:49,R_1ouItHiwJm4NiHY,,,,,-39.07040405,174.0651855,anonymous,EN,5e36c5d61faa2564aac45e70,Left,7.9,7,Orange,Right,2.42,2.42,3.62,1,Right,5.056,6.512,7.887,2,Right,1.365,3.2,5.716,2,Right,1.608,3.357,4.517,2,Left,3.885,5.651,29.257,2,Right,0.66,9.834,11.249,3,Left,1.1,1.1,2.669,1,Right,1.592,2.906,3.851,2,Left,1.297,1.297,2.811,1,Right,0,0,1.373,0,Right,1.357,2.748,4.044,2,Left,0.419,0.419,1.57,1,Left,1.064,3.439,4.825,2,Left,0.926,3.64,4.861,3,Right,1.211,2.621,4.158,2,Left,2.414,19.463,20.02,5,Left,1.468,2.966,4.369,2,Left,0.503,16.257,17.714,3,Left,2.87,4.484,5.578,2,Right,1.328,7.48,8.642,3,Right,0.278,1.945,3.187,2,Right,0.12,17.805,18.985,3,Left,0.51,1.902,3.681,2,Left,0.305,12.689,13.84,3,Left,0.278,2.994,4.414,3,All images load well,"Yes, but i did not understand what I was supposed to be picking",Female,not sure,High School Diploma or equivalent,Orange,1.3,1.3,3,5,2.2,7,6,10%,20,16,10,1
7/29/20 15:39,7/29/20 15:49,IP Address,83.26.219.146,100,575,TRUE,7/29/20 15:49,R_3hiRU6GK8S3w7Or,,,,,50.0565033,19.98150635,anonymous,EN,5e92429e333b7508bf6c5a35,Left,"4,9","4,8",Orange,Right,0.41,0.41,7.568,1,Right,1.25,1.25,2.522,1,Right,3.469,3.469,4.517,1,Right,0.908,1.867,3.23,2,Left,0,0,1.115,0,Right,0.878,0.878,1.764,1,Left,0.661,0.661,1.104,1,Right,0.477,0.477,1.549,1,Left,0,0,0.551,0,Left,5.439,6.448,7.059,2,Right,15.672,16.713,16.906,2,Left,0,0,1.152,0,Right,0,0,0.396,0,Left,0.533,0.533,0.941,1,Right,2.837,2.837,12.108,1,Right,4.306,4.306,5.289,1,Left,2.095,4.824,5.527,2,Left,0.391,0.391,1.773,1,Left,0.133,0.133,2.47,1,Right,5.223,5.223,20.008,1,Left,14.597,15.847,16.051,2,Left,12.789,12.789,13.904,1,Left,2.156,2.156,2.95,1,Left,0,0,0.774,0,Left,0.436,0.436,1.377,1,All images load well,,Male,20000,Associate's Degree,Both equal,1.3,1.3,3,5,2.2,7,6,10%,20,16,6,0
7/29/20 15:41,7/29/20 15:51,IP Address,189.231.138.178,100,628,TRUE,7/29/20 15:51,R_2XpnhOnNXujLVrd,,,,,28.77639771,-106.1140976,anonymous,EN,5dd58a95f30aa654b5d3b04c,Left,5.7,7.9,Orange,Right,2.15,2.15,3.3,1,Right,2.048,2.048,4.51,1,Right,2.399,2.399,3.417,1,Right,97.201,98.571,98.824,2,Left,3.926,3.926,4.744,1,Right,7.701,7.701,8.551,1,Left,0.938,0.938,1.968,1,Right,9.45,9.45,10.118,1,Left,3.299,3.299,4.514,1,Left,6.95,9.275,9.606,6,Right,10.524,10.524,11.504,1,Right,1.131,1.301,2.104,2,Left,6.605,7.185,7.91,3,Left,1.272,1.272,2.335,1,Right,10.576,10.576,11.777,1,Right,5.392,5.392,6.886,1,Left,1.915,10.344,12.396,2,Left,5.167,5.167,6.065,1,Left,17.879,17.879,19.258,1,Right,6.388,6.388,7.232,1,Right,6.831,8.266,9.031,3,Left,17.107,17.107,18.308,1,Right,9.719,9.719,20.108,1,Left,12.184,12.184,13.412,1,Left,6.054,6.054,8.152,1,All images load well,"The price the decimal point made it difficult, damn Im rusting",Male,100000,Bachelor's Degree,Apple,1.3,1.3,3,5,2.2,7,6,10%,20,16,5,0
7/29/20 15:40,7/29/20 15:52,IP Address,72.141.252.9,100,690,TRUE,7/29/20 15:52,R_3h0JWqdX8KacJiv,,,,,42.96409607,-81.2059021,anonymous,EN,5ef4a6f58086c0078bb3414f,Left,7.9,7,Orange,Right,11.93,11.93,12.898,1,Right,2.607,2.607,4.07,1,Right,10.361,10.361,18.183,1,Right,2.716,2.716,9.978,1,Right,7.503,7.503,11.507,1,Right,6.066,6.066,7.01,1,Left,5.035,5.035,6.28,1,Right,4.079,4.079,5.448,1,Left,1.786,1.786,2.682,1,Left,2.645,2.645,9.098,1,Right,6.543,6.543,7.477,1,Left,4.201,4.201,5.11,1,Left,7.045,7.045,8.39,1,Left,2.143,2.143,6.814,1,Right,9.776,9.776,15.169,1,Right,3.564,3.564,4.955,1,Left,4.258,4.258,6.354,1,Left,3.621,3.621,4.396,1,Left,3.526,3.526,6.831,1,Right,7.47,7.47,9.379,1,Left,6.143,6.143,7.108,1,Right,7.24,7.24,8.399,1,Left,4.75,4.75,5.742,1,Left,5.213,5.213,8.109,1,Right,3.142,3.142,4.148,1,All images load well,They are clear enough.,Male,10000,Master's Degree,Both equal,1.3,1.3,3,5,2.2,7,6,10%,20,16,3,0
7/29/20 15:42,7/29/20 15:52,IP Address,5.94.189.198,100,571,TRUE,7/29/20 15:52,R_28TkWJhZlnUInXd,,,,,43.46310425,11.8782959,anonymous,EN,5e38b84a1d14940e0e19c19d,Left,7.9,7,Orange,Right,2.211,2.211,3.643,1,Right,1.18,1.18,3.034,1,Right,3.693,3.693,5.574,1,Right,1.934,1.934,3.615,1,Right,9.648,9.648,11.443,1,Right,2.55,2.55,3.839,1,Left,0,0,1.428,0,Right,1.314,1.314,2.481,1,Left,0,0,1.21,0,Left,3.241,3.241,4.494,1,Right,2.186,2.186,3.613,1,Left,2.528,3.441,4.323,2,Left,12.729,13.825,14.318,2,Left,1.097,1.097,2.67,1,Right,2.571,2.571,3.818,1,Right,5.731,5.731,6.821,1,Right,4.041,5.05,5.523,2,Right,10.333,11.149,11.642,2,Right,4.691,5.514,5.897,2,Right,5.04,5.04,6.104,1,Left,7.661,8.198,10.333,2,Right,6.403,6.403,7.399,1,Left,7.95,7.95,9.054,1,Left,2.458,2.458,4.283,1,Right,5.692,5.692,6.547,1,All images load well,everything was clear,Female,10000,Bachelor's Degree,Orange,1.3,1.3,3,5,2.2,7,6,10%,20,16,2,0
7/29/20 15:44,7/29/20 15:54,IP Address,148.63.217.83,100,574,TRUE,7/29/20 15:54,R_1dK87Mkcb0WZwnx,,,,,41.55149841,-8.420501709,anonymous,EN,5e6d5bc4f93a0c328f70acf1,Left,7.9,7,Orange,Right,5.719,5.719,7.4,1,Right,3.216,3.216,7.346,1,Right,3.425,3.425,5.186,1,Right,19.233,19.233,21.262,1,Left,50.054,50.054,51.967,1,Right,2.625,2.625,4.388,1,Left,3.516,3.516,4.968,1,Right,2.496,2.496,4.018,1,Left,1.983,3.221,4.483,2,Left,3.92,3.92,7.573,1,Right,6.532,6.532,7.994,1,Right,5.322,10.329,11.49,3,Left,3.649,3.649,5.116,1,Left,2.951,2.951,4.742,1,,0,0,20.008,0,Right,3.984,3.984,5.553,1,Left,8.096,8.096,9.903,1,Left,6.675,6.675,8.503,1,,0,0,20.007,0,Right,4.648,4.648,5.857,1,Left,10.87,12.922,14.342,3,Left,4.123,4.123,9.949,1,Left,9.399,9.399,10.636,1,Left,5.488,5.488,6.917,1,Right,6.834,6.834,8.261,1,All images load well,"yes, it is clear enough",Male,6000,High School Diploma or equivalent,Both equal,1.3,1.3,3,5,2.2,7,6,10%,20,16,4,0
7/29/20 15:44,7/29/20 15:54,IP Address,187.192.50.246,100,633,TRUE,7/29/20 15:54,R_2fHGyik8EFjudwa,,,,,25.67680359,-100.2594986,anonymous,EN,5f0c9c4dc6db5764b17a99f8,Left,7.9,7.9,Orange,Left,2.718,34.594,35.637,2,Right,2.113,2.113,3.21,1,Right,5.123,5.123,6.457,1,Right,4.217,4.217,5.489,1,Left,24.741,24.741,26.453,1,Right,2.213,3.697,4.164,2,Left,6.267,6.267,8.359,1,Right,1.748,1.748,3.126,1,Left,0.44,0.44,2.153,1,Left,2.073,2.073,3.154,1,Right,2.532,2.532,5.103,1,Left,3.319,3.359,4.504,2,Left,1.342,1.342,2.964,1,Left,1.013,1.013,20.018,1,Left,19.9,19.9,20.111,1,Right,2.967,2.967,4.106,1,Right,6.381,6.381,7.71,1,Right,16.299,16.299,17.523,1,Left,14.231,14.231,15.384,1,Right,1.461,1.461,3.111,1,Right,6.906,6.906,7.911,1,Left,5.142,5.142,6.363,1,Left,14.205,14.205,15.619,1,Left,15.133,15.133,16.403,1,Right,10.649,10.649,12.155,1,All images load well,IT WAS CLEAR,Female,20000,Bachelor's Degree,Orange,1.3,1.3,3,5,2.2,7,6,10%,20,16,10,0
7/29/20 15:43,7/29/20 15:54,IP Address,82.8.43.108,100,671,TRUE,7/29/20 15:54,R_PwBKXfDP9TXB3Ff,,,,,51.63270569,-3.944900513,anonymous,EN,5664fa2c4ef50400127da41d,Left,7.9,6.7,Orange,Right,11.378,11.378,14.21,1,Right,4.377,4.377,6.595,1,Right,4.726,4.726,8.18,1,Right,4.288,4.288,5.794,1,Right,45.355,45.355,47.747,1,Right,4.356,4.356,7.106,1,Left,3.327,3.327,5.801,1,Right,3.113,3.113,4.811,1,Left,4.622,4.622,7.449,1,Left,5.554,5.554,7.237,1,Right,4.633,4.633,6.993,1,Left,3.955,3.955,6.493,1,Left,7.259,7.259,11.189,1,Left,5.748,5.748,8.23,1,Right,6.004,6.004,7.701,1,Right,18.712,18.712,20.009,1,Left,6.01,6.01,9.105,1,Right,13.972,13.972,15.636,1,Left,16.493,16.493,18.337,1,Right,10.466,10.466,12.3,1,Left,4.238,4.238,7.29,1,Right,15.854,15.854,17.685,1,Right,16.842,16.842,20.107,1,Left,5.031,5.031,7.79,1,Right,9.638,9.638,11.766,1,All images load well,its good,Male,30k,PhD or Higher,Orange,1.3,1.3,3,5,2.2,7,6,10%,20,16,6,0
7/29/20 15:40,7/29/20 15:55,IP Address,126.108.113.49,100,915,TRUE,7/29/20 15:55,R_2E19WkmC7JbEX5G,,,,,34.69329834,135.5067139,anonymous,EN,5ecc47c44bd36744c20ba660,Left,7.9,7,Orange,Right,13.525,13.525,15.141,1,Right,8.298,8.298,10.942,1,Right,4.162,4.162,6.436,1,Right,3.774,3.774,5.3,1,Left,9.915,9.915,17.054,1,Right,4.971,4.971,6.475,1,Left,6.808,6.808,8.223,1,Right,10.447,10.447,11.957,1,Left,3.394,3.394,5.362,1,Left,14.889,14.889,16.417,1,Right,8.184,8.184,9.983,1,Left,5.846,6.733,8.395,2,Left,14.463,14.463,16.311,1,Left,7.664,7.664,8.998,1,Right,15.893,18.198,19.08,3,Right,11.795,11.795,14.148,1,Left,13.849,13.849,15.448,1,Left,11.169,15.413,16.221,3,Right,3.789,3.789,11.668,1,Right,9.778,9.778,12.1,1,Right,16.235,16.235,18.062,1,Right,17.238,17.238,18.589,1,Left,13.159,13.159,15.073,1,Left,1.221,10.953,13.221,2,Right,7.991,7.991,10.118,1,All images load well,Clear enough,Male,"50,000",High School Diploma or equivalent,Orange,1.3,1.3,3,5,2.2,7,6,10%,20,16,3,0
7/29/20 15:42,7/29/20 15:55,IP Address,89.152.108.82,100,787,TRUE,7/29/20 15:55,R_1MSvgm4mF7ktoyc,,,,,41.14529419,-8.529296875,anonymous,EN,5b2fdd57a8327d0001ffe8da,Left,7.9,6,Orange,Right,26.838,26.838,28.753,1,Right,2.77,3.835,4.143,2,Right,11.698,12.657,12.974,2,Right,16.173,16.173,17.345,1,Right,57.517,59.613,60.634,3,Right,5.983,5.983,6.797,1,Left,3.518,3.518,4.458,1,Right,7.091,7.091,8.7,1,Left,3.805,3.805,4.512,1,Left,7.633,7.633,8.405,1,Right,7.093,7.093,8.218,1,Left,9.894,10.59,10.906,2,Left,4.876,4.876,5.856,1,Left,2.863,3.174,3.962,2,Right,5.447,5.447,6.429,1,,0,0,20.108,0,Right,8.72,12.056,13.2,3,Right,11.601,12.05,13.39,2,Left,10.526,10.526,11.316,1,Right,4.686,4.686,5.37,1,Right,6.334,6.334,7.163,1,Left,12.163,12.163,12.95,1,Left,6.818,6.818,7.574,1,Left,6.205,6.205,7.216,1,Right,12.851,13.388,14.432,2,All images load well,yes,Male,90000,Bachelor's Degree,Apple,1.3,1.3,3,5,2.2,7,6,10%,20,16,7,0
