imgName,subId,response,rt,nClicks,congruency,valueDiff,saliencyLocation,correctness
flippedimg_12,5d852b272a218500015f6147,Left,7.178,3,0,0.4,0,1
flippedimg_12,5ea96851a879f0059741c4cb,Left,7.765,1,0,0.4,0,1
flippedimg_12,5dc4177635fd0c2de2b2194a,Left,7.809,1,0,0.4,0,1
flippedimg_12,5bfda58206c0910001be3d14,Left,4.161,1,0,0.4,0,1
flippedimg_12,5de021677f57a309bfc56ac6,Left,7.146,2,0,0.4,0,1
flippedimg_12,5f23157170fcfd08d6b5ab55,Left,6.884,1,0,0.4,0,1
flippedimg_12,5e90f207f9c9d141f4b14def,Left,8.366,1,0,0.4,0,1
flippedimg_12,5a140bdc5d06850001b007bd,Left,1.624,1,0,0.4,0,1
flippedimg_12,5ddbeaff798297b3928a0850,Left,1.39,2,0,0.4,0,1
flippedimg_12,5ebdb1414b3e5d0e1e46e76d,Left,7.016,1,0,0.4,0,1
flippedimg_12,5efec0cffc86a73c9cf173e7,Left,8.732,1,0,0.4,0,1
flippedimg_12,5c8839294b0de2000135270f,Left,5.196,1,0,0.4,0,1
flippedimg_12,5e7885df81606d3f5e51cb5e,Left,4.766,2,0,0.4,0,1
flippedimg_12,5f2351d2da440d0575c75dec,Left,7.271,1,0,0.4,0,1
flippedimg_12,5e9ca45fd662f21da7c2ac6e,Left,6.839,1,0,0.4,0,1
flippedimg_12,5ee389a50d2973011b577b23,Left,9.763,3,0,0.4,0,1
flippedimg_12,5f23525ad6bca511d420f843,Left,2.086,1,0,0.4,0,1
flippedimg_12,5e106c1019232d75243365ba,Left,6.972,2,0,0.4,0,1
flippedimg_12,5d4556c5d1f123001716bae3,Left,5.968,3,0,0.4,0,1
flippedimg_12,5dcb016991c2ba7e029b6545,Left,0.459,1,0,0.4,0,1
flippedimg_12,5cf23dc994df330018876744,Left,2.925,1,0,0.4,0,1
flippedimg_12,579540d016a091000112cdf5,Left,3.284,1,0,0.4,0,1
flippedimg_12,5eea4d6485ba010cd59c2107,Left,3.119,1,0,0.4,0,1
flippedimg_12,5ede038270fe0e000ab7ae54,Left,3.5,1,0,0.4,0,1
flippedimg_12,59d7a9a250f88f000161eb07,Left,2.139,1,0,0.4,0,1
flippedimg_12,5f204b5558c81f30e9860972,Left,5.87,1,0,0.4,0,1
flippedimg_12,5b910e2aa067840001b100af,Left,3.8,1,0,0.4,0,1
