imgName,subId,response,rt,nClicks,congruency,valueDiff,saliencyLocation,correctness
flippedimg_25,5ee24dabbd4b2a3393438be3,Left,5.434,1,1,-4,0,0
flippedimg_25,5f136401b1f46a36f39a8c72,Left,1.498,1,1,-4,0,0
flippedimg_25,5df1a3387caa1e0c69dca179,Left,1.685,1,1,-4,0,0
img_27,5d4556c5d1f123001716bae3,Left,2.607,1,1,4,1,1
img_27,5dcb016991c2ba7e029b6545,Left,0.586,1,1,4,1,1
img_27,5e9886c0cb28b607b3e7f42f,Left,1.358,1,1,4,1,1
img_27,5e6ff43e18d1a809cd0b836a,Left,0,0,1,4,1,
img_27,5cf23dc994df330018876744,Left,2.694,1,1,4,1,1
img_27,579540d016a091000112cdf5,Left,3.271,1,1,4,1,1
img_27,5eea4d6485ba010cd59c2107,Left,0,0,1,4,1,
img_27,5d92b4debda22b00179a2edf,Left,1.938,1,1,4,1,1
img_27,5ede038270fe0e000ab7ae54,Left,2.047,1,1,4,1,1
img_27,5a910c8a6475f900019f8cbc,Left,5.2,1,1,4,1,1
img_27,5ce998fda20e6000170c5ce8,Left,1.798,1,1,4,1,1
img_27,5e8222aec6db759394a891f4,Left,1.757,1,1,4,1,1
img_27,59d7a9a250f88f000161eb07,Left,4.088,1,1,4,1,1
img_27,5f204b5558c81f30e9860972,Left,0,0,1,4,1,
img_27,5b910e2aa067840001b100af,Left,3.259,1,1,4,1,1
img_27,5da5a0f915b62c00141f609a,Left,1.842,1,1,4,1,1
img_27,5ad2d9fafb109b0001a32749,Left,6.779,2,1,4,1,1
img_27,5f1e174460bf5d7ad7a63b8e,Left,1.82,1,1,4,1,1
img_27,5d62f080d556f20001807aa2,Left,2.387,1,1,4,1,1
img_27,5f0f39b34102af025bd36ea5,Left,0,0,1,4,1,
img_27,5ecfdd84dc64e1061b97e321,Left,1.426,1,1,4,1,1
img_27,5f033543945c554f816f6ad7,Left,3.501,1,1,4,1,1
img_27,5b69032cecb6340001b0cc05,Left,2.222,1,1,4,1,1
img_27,5eb71d89ed8104645e640ad7,Left,2.22,1,1,4,1,1
img_27,5739ae9d12d1d8000735d6bb,Left,2.615,1,1,4,1,1
img_27,5c5403d7114ab80001e4bfe7,Left,3.671,1,1,4,1,1
img_27,5d510a7e8c23ee000140b64a,Left,3.154,1,1,4,1,1
img_27,5e9bd025eb6b380e1d66d04c,Left,2.264,1,1,4,1,1
img_27,5c9e3d5553de260014ce7f98,Left,7.858,2,1,4,1,1
img_27,5efd440689469118b2540378,Left,3.02,3,1,4,1,1
img_27,5df1a3387caa1e0c69dca179,Left,1.118,1,1,4,1,1
img_27,5ea6d737a09cad065e46bc83,Left,3.559,1,1,4,1,1
img_27,5c120a94e32f860001657bd1,Left,7.248,1,1,4,1,1
img_27,5de5157820c5aa09b7a53b89,Left,3.276,2,1,4,1,1
img_27,5c041a0ce0483e0001f21370,Left,0,0,1,4,1,
img_27,5e8cb59cf38a3b057a543c1e,Left,3.453,2,1,4,1,1
img_27,5ec85e9240ce74335fcd7b64,Left,3.316,1,1,4,1,1
img_27,5b689fa3cda8590001db3c99,Left,2.17,1,1,4,1,1
img_27,5d474ed70f79810001c36084,Left,0,0,1,4,1,
img_27,5c7a8e2cc872f3001446f7b3,Left,1.891,1,1,4,1,1
img_27,5e5e06a0394d0811996bd24a,Left,4.229,1,1,4,1,1
img_27,5ef1f70124605d063a917fcb,Left,2.464,1,1,4,1,1
img_27,5ecb01cced3da428165efe9c,Left,0.845,1,1,4,1,1
img_27,5d293924af9e43001b1e4e22,Left,6.135,1,1,4,1,1
img_27,5ea664529b1fb66807ced077,Left,0,0,1,4,1,
img_27,5bf50a11499f2f0001d98ddf,Left,5.353,1,1,4,1,1
img_27,5f1ca7a85e7391107f8d7562,Left,1.819,1,1,4,1,1
img_27,5bcd2885ac406f000177d6b0,Left,2.837,1,1,4,1,1
flippedimg_9,5a910c8a6475f900019f8cbc,Left,2.597,1,0,-4,1,0
flippedimg_9,5ee24dabbd4b2a3393438be3,Left,3.225,2,0,-4,1,0
img_9,5d4556c5d1f123001716bae3,Left,1.942,1,0,4,0,1
img_9,5dcb016991c2ba7e029b6545,Left,0.374,1,0,4,0,1
img_9,5e9886c0cb28b607b3e7f42f,Left,2.016,1,0,4,0,1
img_9,5e6ff43e18d1a809cd0b836a,Left,0,0,0,4,0,
img_9,5cf23dc994df330018876744,Left,1.874,1,0,4,0,1
img_9,579540d016a091000112cdf5,Left,4.704,1,0,4,0,1
img_9,5eea4d6485ba010cd59c2107,Left,0,0,0,4,0,
img_9,5d92b4debda22b00179a2edf,Left,1.621,1,0,4,0,1
img_9,5ede038270fe0e000ab7ae54,Left,0.43,1,0,4,0,1
img_9,5a910c8a6475f900019f8cbc,Left,2.357,1,0,4,0,1
img_9,5ce998fda20e6000170c5ce8,Left,0.967,1,0,4,0,1
img_9,5e8222aec6db759394a891f4,Left,0,0,0,4,0,
img_9,59d7a9a250f88f000161eb07,Left,1.708,1,0,4,0,1
img_9,5f204b5558c81f30e9860972,Left,0,0,0,4,0,
img_9,5b910e2aa067840001b100af,Left,5.605,1,0,4,0,1
img_9,5da5a0f915b62c00141f609a,Left,1.073,1,0,4,0,1
img_9,5ad2d9fafb109b0001a32749,Left,3.463,3,0,4,0,1
img_9,5f1e174460bf5d7ad7a63b8e,Left,0.457,1,0,4,0,1
img_9,5d62f080d556f20001807aa2,Left,0,0,0,4,0,
img_9,5f0f39b34102af025bd36ea5,Left,10.081,15,0,4,0,1
img_9,5ecfdd84dc64e1061b97e321,Left,3.579,2,0,4,0,1
img_9,5f033543945c554f816f6ad7,Left,2.7,1,0,4,0,1
img_9,5b69032cecb6340001b0cc05,Left,2.699,1,0,4,0,1
img_9,5eb71d89ed8104645e640ad7,Left,1.171,1,0,4,0,1
img_9,5f136401b1f46a36f39a8c72,Left,3.515,2,0,4,0,1
img_9,5739ae9d12d1d8000735d6bb,Left,1.145,1,0,4,0,1
img_9,5c5403d7114ab80001e4bfe7,Left,2.756,1,0,4,0,1
img_9,5d510a7e8c23ee000140b64a,Left,0.926,1,0,4,0,1
img_9,5e9bd025eb6b380e1d66d04c,Left,5.825,1,0,4,0,1
img_9,5c9e3d5553de260014ce7f98,Left,3.602,1,0,4,0,1
img_9,5c6e01f1a8f71b0001c1ed34,Left,4.821,1,0,4,0,1
img_9,5efd440689469118b2540378,Left,1.913,2,0,4,0,1
img_9,5df1a3387caa1e0c69dca179,Left,0.09,1,0,4,0,1
img_9,5ea6d737a09cad065e46bc83,Left,2.414,1,0,4,0,1
img_9,5c120a94e32f860001657bd1,Left,2.471,1,0,4,0,1
img_9,5de5157820c5aa09b7a53b89,Left,1.058,1,0,4,0,1
img_9,5c041a0ce0483e0001f21370,Left,0.284,1,0,4,0,1
img_9,5e8cb59cf38a3b057a543c1e,Left,2.733,1,0,4,0,1
img_9,5ec85e9240ce74335fcd7b64,Left,4.007,1,0,4,0,1
img_9,5b689fa3cda8590001db3c99,Left,0,0,0,4,0,
img_9,5d474ed70f79810001c36084,Left,0,0,0,4,0,
img_9,5c7a8e2cc872f3001446f7b3,Left,0.808,1,0,4,0,1
img_9,5e5e06a0394d0811996bd24a,Left,3.283,2,0,4,0,1
img_9,5ef1f70124605d063a917fcb,Left,0,0,0,4,0,
img_9,5ecb01cced3da428165efe9c,Left,3.756,2,0,4,0,1
img_9,5d293924af9e43001b1e4e22,Left,1.942,1,0,4,0,1
img_9,5ea664529b1fb66807ced077,Left,0.487,1,0,4,0,1
img_9,5bf50a11499f2f0001d98ddf,Left,4.157,1,0,4,0,1
img_9,5f1ca7a85e7391107f8d7562,Left,1.354,1,0,4,0,1
img_9,5bcd2885ac406f000177d6b0,Left,2.206,1,0,4,0,1
img_10,5d4556c5d1f123001716bae3,Left,1.957,1,1,1.4,1,1
img_10,5dcb016991c2ba7e029b6545,Left,0,0,1,1.4,1,
img_10,5e9886c0cb28b607b3e7f42f,Left,0.654,1,1,1.4,1,1
img_10,5e6ff43e18d1a809cd0b836a,Left,2.548,1,1,1.4,1,1
img_10,5cf23dc994df330018876744,Left,1.815,1,1,1.4,1,1
img_10,579540d016a091000112cdf5,Left,5.295,1,1,1.4,1,1
img_10,5eea4d6485ba010cd59c2107,Left,0,0,1,1.4,1,
img_10,5d92b4debda22b00179a2edf,Left,1.377,1,1,1.4,1,1
img_10,5ede038270fe0e000ab7ae54,Left,1.527,1,1,1.4,1,1
img_10,5a910c8a6475f900019f8cbc,Left,9.114,1,1,1.4,1,1
img_10,5ce998fda20e6000170c5ce8,Left,1.046,1,1,1.4,1,1
img_10,5e8222aec6db759394a891f4,Left,1.865,1,1,1.4,1,1
img_10,59d7a9a250f88f000161eb07,Left,1.782,1,1,1.4,1,1
img_10,5f204b5558c81f30e9860972,Left,1.22,1,1,1.4,1,1
img_10,5b910e2aa067840001b100af,Left,0,0,1,1.4,1,
img_10,5ad2d9fafb109b0001a32749,Left,5.483,2,1,1.4,1,1
img_10,5d62f080d556f20001807aa2,Left,2.877,1,1,1.4,1,1
img_10,5f0f39b34102af025bd36ea5,Left,5.016,4,1,1.4,1,1
img_10,5ecfdd84dc64e1061b97e321,Left,1.388,1,1,1.4,1,1
img_10,5f033543945c554f816f6ad7,Left,5.05,1,1,1.4,1,1
img_10,5f136401b1f46a36f39a8c72,Left,8.928,1,1,1.4,1,1
img_10,5739ae9d12d1d8000735d6bb,Left,1.414,1,1,1.4,1,1
img_10,5c5403d7114ab80001e4bfe7,Left,4.155,1,1,1.4,1,1
img_10,5d510a7e8c23ee000140b64a,Left,4.216,2,1,1.4,1,1
img_10,5c9e3d5553de260014ce7f98,Left,9.385,1,1,1.4,1,1
img_10,5efd440689469118b2540378,Left,2.371,2,1,1.4,1,1
img_10,5df1a3387caa1e0c69dca179,Left,7.625,1,1,1.4,1,1
img_10,5ea6d737a09cad065e46bc83,Left,1.86,1,1,1.4,1,1
img_10,5c120a94e32f860001657bd1,Left,7.432,2,1,1.4,1,1
img_10,5de5157820c5aa09b7a53b89,Left,0.842,1,1,1.4,1,1
img_10,5c041a0ce0483e0001f21370,Left,0,0,1,1.4,1,
img_10,5e8cb59cf38a3b057a543c1e,Left,2.307,1,1,1.4,1,1
img_10,5ec85e9240ce74335fcd7b64,Left,8.691,1,1,1.4,1,1
img_10,5b689fa3cda8590001db3c99,Left,1.899,1,1,1.4,1,1
img_10,5d474ed70f79810001c36084,Left,9.041,1,1,1.4,1,1
img_10,5c7a8e2cc872f3001446f7b3,Left,5.382,1,1,1.4,1,1
img_10,5ef1f70124605d063a917fcb,Left,5.377,2,1,1.4,1,1
img_10,5ecb01cced3da428165efe9c,Left,5.588,4,1,1.4,1,1
img_10,5bf50a11499f2f0001d98ddf,Left,3.011,1,1,1.4,1,1
img_10,5f1ca7a85e7391107f8d7562,Left,1.249,1,1,1.4,1,1
img_10,5bcd2885ac406f000177d6b0,Left,2.234,1,1,1.4,1,1
flippedimg_53,5df1a3387caa1e0c69dca179,Left,8.776,1,1,-0.8,0,0
img_53,5d4556c5d1f123001716bae3,Left,3.276,2,1,0.8,1,1
img_53,5dcb016991c2ba7e029b6545,Left,1.111,1,1,0.8,1,1
img_53,5e6ff43e18d1a809cd0b836a,Left,0,0,1,0.8,1,
img_53,5cf23dc994df330018876744,Left,2.107,1,1,0.8,1,1
img_53,579540d016a091000112cdf5,Left,5.224,1,1,0.8,1,1
img_53,5eea4d6485ba010cd59c2107,Left,1.117,2,1,0.8,1,1
img_53,5d92b4debda22b00179a2edf,Left,1.97,1,1,0.8,1,1
img_53,5ede038270fe0e000ab7ae54,Left,1.903,1,1,0.8,1,1
img_53,5a910c8a6475f900019f8cbc,Left,7.674,1,1,0.8,1,1
