imgName,subId,response,rt,nClicks
flippedimg_25,5e8ee33b0b6b6519fcf46997,,NaN,NaN
flippedimg_25,5f037c283e4a64580187b2c6,,NaN,NaN
flippedimg_25,5f03c4832e8e3c608c6cdb35,,NaN,NaN
flippedimg_25,5ea0a284bb180e09182351d2,Right,3.276,1
flippedimg_25,5ec2cd141253160ea1f97613,Right,2.593,3
flippedimg_25,5ed091c688bb4716f33a7908,Right,2.722,3
flippedimg_25,5d512a92158b110001f3269d,Right,4.37,1
flippedimg_25,5b922622a31c3400012713e8,Right,6.874,1
flippedimg_25,5bba370b6130300001e3708e,Right,3.938,1
flippedimg_25,5c55bf0943918d00017a3d07,Right,7.684,1
flippedimg_25,5e30fb606ec1ac0fb08176dc,Right,7.682,1
flippedimg_25,5ee28fbb1d9dca40620d1db9,Right,10.794,2
flippedimg_25,5bba20fd9672860001e260b6,Right,2.337,1
flippedimg_25,5ea79224b5f29716f81d5838,Right,3.587,2
flippedimg_25,5dcecbe1f3b7c201a9f37264,Right,2.869,2
flippedimg_25,5d5f9c75ca10e90001bc020a,Right,8.603,1
flippedimg_25,5e679fb8fe8ea903128c9ec5,Right,7.673,1
flippedimg_25,5e13a841da6bad9ef729bdce,Right,13.746,1
flippedimg_25,5f198931decc860189206329,Right,8.49,2
flippedimg_25,5d2fabf8cbcda30001d27a68,Right,4.309,1
flippedimg_25,5e99a7f85bfb0e00096ea3dc,Right,6.446,1
flippedimg_25,5f08ef998d284216d1629865,Right,21.949,2
flippedimg_25,5d67ed053c7f6b00012e2db7,Right,0,0
flippedimg_25,5e8caee6b47439057c61db9f,Right,7.222,1
flippedimg_25,5d2e5d6ca4334e001d548f04,Right,16.178,1
img_27,5e8ee33b0b6b6519fcf46997,,NaN,NaN
img_27,5f037c283e4a64580187b2c6,,NaN,NaN
img_27,5f03c4832e8e3c608c6cdb35,,NaN,NaN
img_27,5ea0a284bb180e09182351d2,Left,1.536,1
img_27,5ec2cd141253160ea1f97613,Left,2.443,2
img_27,5ed091c688bb4716f33a7908,Left,1.698,1
img_27,5d512a92158b110001f3269d,Left,3.022,1
img_27,5b922622a31c3400012713e8,Left,15.018,1
