imgName,subId,response,rt,nClicks,congruency,valueDiff,saliencyLocation,correctness
flippedimg_25,55132578fdf99b1b0568bdb8,Right,3.087,1,1,-4,0,1
flippedimg_25,5dcc75b66a14e78f8a473641,Right,1.737,1,1,-4,0,1
flippedimg_25,5bacfa561c5cad00010b4cc9,Right,4.488,1,1,-4,0,1
flippedimg_25,5f0526377669501befdce038,Right,2.569,1,1,-4,0,1
flippedimg_25,5eec7a664f3d6500099ec6e5,Right,4.051,2,1,-4,0,1
flippedimg_25,5ec98e275583f34a98a9a956,Right,3.532,1,1,-4,0,1
flippedimg_25,5e728179e44b921d5646ced2,Right,2.006,1,1,-4,0,1
flippedimg_25,5f05fc7018d7fd0f7f3dafe2,Right,3.287,1,1,-4,0,1
flippedimg_25,5eb1994b2c1e632a7f63ff52,Right,5.728,1,1,-4,0,1
flippedimg_25,5ea961497b2a160382180104,Right,5.039,1,1,-4,0,1
flippedimg_25,5ed316d9b49d482acbf8ce29,Right,3.979,1,1,-4,0,1
flippedimg_25,5dc2fc7488381e215d497c7c,Right,2.193,1,1,-4,0,1
flippedimg_25,5b9ce9e980ebc0000117f24d,Right,1.377,1,1,-4,0,1
flippedimg_25,5eeadad1a8405e1bf5c8c7d4,Right,3.444,1,1,-4,0,1
flippedimg_25,5d96151605d4d60019b1535e,Right,1.422,1,1,-4,0,1
flippedimg_25,568a58e0d3d6a7000ba2414e,Right,3.915,2,1,-4,0,1
flippedimg_25,5f0a48e187a3fe31a75050fe,Right,2.313,1,1,-4,0,1
flippedimg_25,58bebf658c2fd60001b9767a,Right,2.242,2,1,-4,0,1
flippedimg_25,5ee78cdd0103130133fdb204,Right,4.532,2,1,-4,0,1
flippedimg_25,5f0e28b536c61b1430d2248e,Right,6.019,1,1,-4,0,1
flippedimg_25,5dd370b6e4bf2035a6b93643,Right,1.475,1,1,-4,0,1
flippedimg_25,5b914a5f02a76000015c72d4,Right,5.331,1,1,-4,0,1
flippedimg_25,5eb588fc0505e50bfe1b952c,Right,6.343,1,1,-4,0,1
flippedimg_25,5a6f1ccade1f390001dbd8b7,Right,4.652,1,1,-4,0,1
img_27,55132578fdf99b1b0568bdb8,Left,2.192,1,1,4,1,1
img_27,5dcc75b66a14e78f8a473641,Left,2.723,2,1,4,1,1
img_27,5bacfa561c5cad00010b4cc9,Left,2.076,1,1,4,1,1
img_27,5f0526377669501befdce038,Left,3.081,1,1,4,1,1
img_27,5eec7a664f3d6500099ec6e5,,10.037,16,1,4,1,0
img_27,5ec98e275583f34a98a9a956,Left,2.694,1,1,4,1,1
img_27,5e728179e44b921d5646ced2,Left,3.046,1,1,4,1,1
img_27,5f05fc7018d7fd0f7f3dafe2,Left,0,0,1,4,1,
img_27,5eb1994b2c1e632a7f63ff52,Left,2.083,1,1,4,1,1
img_27,5ea961497b2a160382180104,Left,4.972,1,1,4,1,1
img_27,5ed316d9b49d482acbf8ce29,Left,1.851,1,1,4,1,1
img_27,5dc2fc7488381e215d497c7c,Left,0.651,1,1,4,1,1
img_27,5b9ce9e980ebc0000117f24d,Left,0.599,1,1,4,1,1
img_27,5eeadad1a8405e1bf5c8c7d4,Left,2.83,1,1,4,1,1
img_27,5d96151605d4d60019b1535e,Left,2.008,1,1,4,1,1
img_27,568a58e0d3d6a7000ba2414e,Left,2.928,1,1,4,1,1
img_27,5f0a48e187a3fe31a75050fe,Left,4.241,1,1,4,1,1
img_27,58bebf658c2fd60001b9767a,Left,8.655,3,1,4,1,1
img_27,5ee78cdd0103130133fdb204,Left,6.264,2,1,4,1,1
img_27,5f0e28b536c61b1430d2248e,Left,6.726,1,1,4,1,1
img_27,5dd370b6e4bf2035a6b93643,Left,0.302,1,1,4,1,1
img_27,5b914a5f02a76000015c72d4,Left,5.93,1,1,4,1,1
img_27,5eb588fc0505e50bfe1b952c,Left,5.483,1,1,4,1,1
img_27,5a6f1ccade1f390001dbd8b7,Left,3.478,1,1,4,1,1
flippedimg_9,55132578fdf99b1b0568bdb8,Right,2.122,1,-0,-4,1,1
flippedimg_9,5dcc75b66a14e78f8a473641,Right,2.001,1,-0,-4,1,1
flippedimg_9,5bacfa561c5cad00010b4cc9,Right,2.397,1,-0,-4,1,1
flippedimg_9,5f0526377669501befdce038,Right,0.759,1,-0,-4,1,1
flippedimg_9,5eec7a664f3d6500099ec6e5,Right,1.818,2,-0,-4,1,1
flippedimg_9,5ec98e275583f34a98a9a956,Right,3.205,2,-0,-4,1,1
flippedimg_9,5e728179e44b921d5646ced2,Right,2.638,1,-0,-4,1,1
flippedimg_9,5f05fc7018d7fd0f7f3dafe2,Right,0,0,-0,-4,1,
flippedimg_9,5eb1994b2c1e632a7f63ff52,Right,3.392,1,-0,-4,1,1
flippedimg_9,5ea961497b2a160382180104,Right,4.963,2,-0,-4,1,1
flippedimg_9,5ed316d9b49d482acbf8ce29,Right,1.771,1,-0,-4,1,1
flippedimg_9,5dc2fc7488381e215d497c7c,Right,1.144,1,-0,-4,1,1
flippedimg_9,5b9ce9e980ebc0000117f24d,Right,1.394,1,-0,-4,1,1
flippedimg_9,5eeadad1a8405e1bf5c8c7d4,Right,2.314,1,-0,-4,1,1
flippedimg_9,5d96151605d4d60019b1535e,Right,2.052,2,-0,-4,1,1
flippedimg_9,568a58e0d3d6a7000ba2414e,Right,2.757,1,-0,-4,1,1
flippedimg_9,5f0a48e187a3fe31a75050fe,Right,2.431,1,-0,-4,1,1
