imgName,subId,response,rt,nClicks,congruency,valueDiff,saliencyLocation,correctness
flippedimg_25,5eb37467d4803616ef0797f4,,NaN,NaN,1,-4,0,1
flippedimg_25,57a3ad5670c76a00012467e7,Right,2.165,1,1,-4,0,1
flippedimg_25,5e43517335a4e41f04a61607,Right,3.173,1,1,-4,0,1
flippedimg_25,5e36c5d61faa2564aac45e70,Right,9.834,3,1,-4,0,1
flippedimg_25,5e92429e333b7508bf6c5a35,Right,0.878,1,1,-4,0,1
flippedimg_25,5dd58a95f30aa654b5d3b04c,Right,7.701,1,1,-4,0,1
flippedimg_25,5ef4a6f58086c0078bb3414f,Right,6.066,1,1,-4,0,1
flippedimg_25,5e38b84a1d14940e0e19c19d,Right,2.55,1,1,-4,0,1
flippedimg_25,5e6d5bc4f93a0c328f70acf1,Right,2.625,1,1,-4,0,1
flippedimg_25,5f0c9c4dc6db5764b17a99f8,Right,3.697,2,1,-4,0,1
flippedimg_25,5664fa2c4ef50400127da41d,Right,4.356,1,1,-4,0,1
flippedimg_25,5ecc47c44bd36744c20ba660,Right,4.971,1,1,-4,0,1
flippedimg_25,5b2fdd57a8327d0001ffe8da,Right,5.983,1,1,-4,0,1
flippedimg_25,5e668f3107e41f04e1ff4a95,Left,3.55,1,1,-4,0,0
flippedimg_25,5958fb67faf83d00014944a9,Right,17.036,1,1,-4,0,1
flippedimg_25,5b639ebd7584240001421064,Right,0.698,1,1,-4,0,1
flippedimg_25,5cddb06d025b0b001ce92176,Right,3.348,1,1,-4,0,1
flippedimg_25,5ead7d6e96a62440b21c25f8,Right,5.646,2,1,-4,0,1
flippedimg_25,5f0b9d47ea451d10d1d76591,Right,6.785,1,1,-4,0,1
flippedimg_25,5f03d120a2829261b41a1c8d,Right,8.498,2,1,-4,0,1
flippedimg_25,5e2dd82ecad44b3c33567b70,Left,1.032,1,1,-4,0,0
flippedimg_25,5f16336a0fa37a1b36d9190e,Right,4.597,1,1,-4,0,1
flippedimg_25,5bd056f9263e0a00016d20d3,Right,5.397,1,1,-4,0,1
flippedimg_25,5ec3e5be68bbf2081da1eba2,,NaN,NaN,1,-4,0,1
flippedimg_25,5d5597650bb439000168a5b4,Right,13.489,1,1,-4,0,1
flippedimg_25,5e99f5e9fd5d84071bd71796,Right,1.236,1,1,-4,0,1
img_27,5eb37467d4803616ef0797f4,,NaN,NaN,1,4,1,0
img_27,57a3ad5670c76a00012467e7,Left,1.328,1,1,4,1,1
img_27,5e43517335a4e41f04a61607,Left,1.909,1,1,4,1,1
img_27,5e36c5d61faa2564aac45e70,Left,1.1,1,1,4,1,1
img_27,5e92429e333b7508bf6c5a35,Left,0.661,1,1,4,1,1
img_27,5dd58a95f30aa654b5d3b04c,Left,0.938,1,1,4,1,1
img_27,5ef4a6f58086c0078bb3414f,Left,5.035,1,1,4,1,1
img_27,5e38b84a1d14940e0e19c19d,Left,0,0,1,4,1,
img_27,5e6d5bc4f93a0c328f70acf1,Left,3.516,1,1,4,1,1
img_27,5f0c9c4dc6db5764b17a99f8,Left,6.267,1,1,4,1,1
img_27,5664fa2c4ef50400127da41d,Left,3.327,1,1,4,1,1
img_27,5ecc47c44bd36744c20ba660,Left,6.808,1,1,4,1,1
img_27,5b2fdd57a8327d0001ffe8da,Left,3.518,1,1,4,1,1
img_27,5e668f3107e41f04e1ff4a95,Right,11.734,1,1,4,1,0
img_27,5958fb67faf83d00014944a9,Left,3.301,2,1,4,1,1
img_27,5b639ebd7584240001421064,Left,2.425,2,1,4,1,1
img_27,5cddb06d025b0b001ce92176,Left,2.936,1,1,4,1,1
img_27,5ead7d6e96a62440b21c25f8,Left,7.256,2,1,4,1,1
img_27,5f0b9d47ea451d10d1d76591,Left,1.8,1,1,4,1,1
img_27,5f03d120a2829261b41a1c8d,Left,8.522,2,1,4,1,1
img_27,5e2dd82ecad44b3c33567b70,Left,0.552,1,1,4,1,1
img_27,5f16336a0fa37a1b36d9190e,Left,8.119,1,1,4,1,1
img_27,5bd056f9263e0a00016d20d3,Left,8.289,2,1,4,1,1
img_27,5ec3e5be68bbf2081da1eba2,,NaN,NaN,1,4,1,0
img_27,5d5597650bb439000168a5b4,Left,4.778,1,1,4,1,1
img_27,5e99f5e9fd5d84071bd71796,Left,1.7,1,1,4,1,1
flippedimg_9,5eb37467d4803616ef0797f4,,NaN,NaN,-0,-4,1,1
flippedimg_9,57a3ad5670c76a00012467e7,Right,1.429,1,-0,-4,1,1
flippedimg_9,5e43517335a4e41f04a61607,Right,4.41,1,-0,-4,1,1
flippedimg_9,5e36c5d61faa2564aac45e70,Right,2.906,2,-0,-4,1,1
flippedimg_9,5e92429e333b7508bf6c5a35,Right,0.477,1,-0,-4,1,1
flippedimg_9,5dd58a95f30aa654b5d3b04c,Right,9.45,1,-0,-4,1,1
flippedimg_9,5ef4a6f58086c0078bb3414f,Right,4.079,1,-0,-4,1,1
flippedimg_9,5e38b84a1d14940e0e19c19d,Right,1.314,1,-0,-4,1,1
flippedimg_9,5e6d5bc4f93a0c328f70acf1,Right,2.496,1,-0,-4,1,1
flippedimg_9,5f0c9c4dc6db5764b17a99f8,Right,1.748,1,-0,-4,1,1
flippedimg_9,5664fa2c4ef50400127da41d,Right,3.113,1,-0,-4,1,1
flippedimg_9,5ecc47c44bd36744c20ba660,Right,10.447,1,-0,-4,1,1
flippedimg_9,5b2fdd57a8327d0001ffe8da,Right,7.091,1,-0,-4,1,1
flippedimg_9,5e668f3107e41f04e1ff4a95,Left,8.939,1,-0,-4,1,0
flippedimg_9,5958fb67faf83d00014944a9,Right,1.341,1,-0,-4,1,1
flippedimg_9,5b639ebd7584240001421064,Right,1.552,1,-0,-4,1,1
flippedimg_9,5cddb06d025b0b001ce92176,Right,2.096,1,-0,-4,1,1
flippedimg_9,5ead7d6e96a62440b21c25f8,Right,9.853,3,-0,-4,1,1
flippedimg_9,5f0b9d47ea451d10d1d76591,Right,1.588,1,-0,-4,1,1
flippedimg_9,5f03d120a2829261b41a1c8d,Right,5.519,2,-0,-4,1,1
flippedimg_9,5e2dd82ecad44b3c33567b70,Left,2.316,2,-0,-4,1,0
flippedimg_9,5f16336a0fa37a1b36d9190e,Right,2.967,1,-0,-4,1,1
flippedimg_9,5bd056f9263e0a00016d20d3,Right,3.984,1,-0,-4,1,1
flippedimg_9,5ec3e5be68bbf2081da1eba2,,NaN,NaN,-0,-4,1,1
flippedimg_9,5d5597650bb439000168a5b4,Right,3.404,1,-0,-4,1,1
flippedimg_9,5e99f5e9fd5d84071bd71796,Right,0.615,1,-0,-4,1,1
img_9,5eb37467d4803616ef0797f4,,NaN,NaN,-0,4,0,0
img_9,57a3ad5670c76a00012467e7,Left,1.408,1,-0,4,0,1
img_9,5e43517335a4e41f04a61607,Left,2.095,1,-0,4,0,1
img_9,5e36c5d61faa2564aac45e70,Left,1.297,1,-0,4,0,1
img_9,5e92429e333b7508bf6c5a35,Left,0,0,-0,4,0,
img_9,5dd58a95f30aa654b5d3b04c,Left,3.299,1,-0,4,0,1
img_9,5ef4a6f58086c0078bb3414f,Left,1.786,1,-0,4,0,1
img_9,5e38b84a1d14940e0e19c19d,Left,0,0,-0,4,0,
img_9,5e6d5bc4f93a0c328f70acf1,Left,3.221,2,-0,4,0,1
img_9,5f0c9c4dc6db5764b17a99f8,Left,0.44,1,-0,4,0,1
img_9,5664fa2c4ef50400127da41d,Left,4.622,1,-0,4,0,1
img_9,5ecc47c44bd36744c20ba660,Left,3.394,1,-0,4,0,1
img_9,5b2fdd57a8327d0001ffe8da,Left,3.805,1,-0,4,0,1
img_9,5e668f3107e41f04e1ff4a95,Right,0,0,-0,4,0,
img_9,5958fb67faf83d00014944a9,Left,1.67,1,-0,4,0,1
img_9,5b639ebd7584240001421064,Left,1.395,1,-0,4,0,1
img_9,5cddb06d025b0b001ce92176,Left,1.249,1,-0,4,0,1
img_9,5ead7d6e96a62440b21c25f8,Right,5.193,6,-0,4,0,0
img_9,5f0b9d47ea451d10d1d76591,Left,1.297,1,-0,4,0,1
img_9,5f03d120a2829261b41a1c8d,Left,8.652,1,-0,4,0,1
img_9,5e2dd82ecad44b3c33567b70,Left,1.071,1,-0,4,0,1
img_9,5f16336a0fa37a1b36d9190e,Left,3.354,1,-0,4,0,1
img_9,5bd056f9263e0a00016d20d3,Left,3.857,1,-0,4,0,1
img_9,5ec3e5be68bbf2081da1eba2,,NaN,NaN,-0,4,0,0
img_9,5d5597650bb439000168a5b4,Left,8.185,2,-0,4,0,1
img_9,5e99f5e9fd5d84071bd71796,Left,0.085,1,-0,4,0,1
img_10,5eb37467d4803616ef0797f4,,NaN,NaN,1,1.4,1,0
img_10,57a3ad5670c76a00012467e7,Left,1.544,1,1,1.4,1,1
img_10,5e43517335a4e41f04a61607,Left,2.591,1,1,1.4,1,1
img_10,5e36c5d61faa2564aac45e70,Right,0,0,1,1.4,1,
img_10,5e92429e333b7508bf6c5a35,Left,6.448,2,1,1.4,1,1
img_10,5dd58a95f30aa654b5d3b04c,Left,9.275,6,1,1.4,1,1
img_10,5ef4a6f58086c0078bb3414f,Left,2.645,1,1,1.4,1,1
img_10,5e38b84a1d14940e0e19c19d,Left,3.241,1,1,1.4,1,1
img_10,5e6d5bc4f93a0c328f70acf1,Left,3.92,1,1,1.4,1,1
img_10,5f0c9c4dc6db5764b17a99f8,Left,2.073,1,1,1.4,1,1
img_10,5664fa2c4ef50400127da41d,Left,5.554,1,1,1.4,1,1
img_10,5ecc47c44bd36744c20ba660,Left,14.889,1,1,1.4,1,1
img_10,5b2fdd57a8327d0001ffe8da,Left,7.633,1,1,1.4,1,1
img_10,5e668f3107e41f04e1ff4a95,Right,3.65,2,1,1.4,1,0
img_10,5958fb67faf83d00014944a9,Left,1.601,1,1,1.4,1,1
img_10,5b639ebd7584240001421064,Left,1.573,1,1,1.4,1,1
img_10,5cddb06d025b0b001ce92176,Right,14.743,1,1,1.4,1,0
img_10,5ead7d6e96a62440b21c25f8,Left,15.752,2,1,1.4,1,1
img_10,5f0b9d47ea451d10d1d76591,Left,13.265,1,1,1.4,1,1
img_10,5f03d120a2829261b41a1c8d,Left,5.988,1,1,1.4,1,1
img_10,5e2dd82ecad44b3c33567b70,Left,9.959,13,1,1.4,1,1
img_10,5f16336a0fa37a1b36d9190e,Left,4.054,1,1,1.4,1,1
img_10,5bd056f9263e0a00016d20d3,Left,12.309,1,1,1.4,1,1
img_10,5ec3e5be68bbf2081da1eba2,,NaN,NaN,1,1.4,1,0
img_10,5d5597650bb439000168a5b4,Left,10.117,1,1,1.4,1,1
img_10,5e99f5e9fd5d84071bd71796,Left,1.039,1,1,1.4,1,1
flippedimg_53,5eb37467d4803616ef0797f4,,NaN,NaN,1,-0.8,0,1
flippedimg_53,57a3ad5670c76a00012467e7,Right,7.966,1,1,-0.8,0,1
flippedimg_53,5e43517335a4e41f04a61607,Right,1.73,1,1,-0.8,0,1
flippedimg_53,5e36c5d61faa2564aac45e70,Right,2.748,2,1,-0.8,0,1
