imgName,subId,response,rt,nClicks,congruency,valueDiff,saliencyLocation,correctness
flippedimg_25,5d61c41048b8f1001915f01f,Right,6.401,1,1,-4,0,1
flippedimg_25,5d852b272a218500015f6147,Right,3.985,3,1,-4,0,1
flippedimg_25,5ea96851a879f0059741c4cb,Right,1.385,1,1,-4,0,1
flippedimg_25,5dc4177635fd0c2de2b2194a,Right,2.879,1,1,-4,0,1
flippedimg_25,5c6d74852f21670001f8eacb,Right,4.083,1,1,-4,0,1
flippedimg_25,5bfda58206c0910001be3d14,Right,2.3,1,1,-4,0,1
flippedimg_25,5de021677f57a309bfc56ac6,Right,5.538,1,1,-4,0,1
flippedimg_25,5f23157170fcfd08d6b5ab55,Right,6.513,1,1,-4,0,1
flippedimg_25,5e90f207f9c9d141f4b14def,Right,2.706,1,1,-4,0,1
flippedimg_25,5eb07222f887980fd34f6889,Right,4.033,3,1,-4,0,1
flippedimg_25,5f12702f38faee1c06433bf8,Right,4.301,1,1,-4,0,1
flippedimg_25,5a140bdc5d06850001b007bd,Right,3.362,1,1,-4,0,1
flippedimg_25,5ddbeaff798297b3928a0850,Right,4.654,2,1,-4,0,1
flippedimg_25,5ebdb1414b3e5d0e1e46e76d,Right,4.663,1,1,-4,0,1
flippedimg_25,5efec0cffc86a73c9cf173e7,Right,3.283,1,1,-4,0,1
flippedimg_25,5de93d9ae045e206b871af2c,Right,0.986,1,1,-4,0,1
flippedimg_25,5c8839294b0de2000135270f,Right,3.45,1,1,-4,0,1
flippedimg_25,5e7885df81606d3f5e51cb5e,Right,6.383,4,1,-4,0,1
flippedimg_25,5f2351d2da440d0575c75dec,Right,2.441,1,1,-4,0,1
flippedimg_25,5e9ca45fd662f21da7c2ac6e,Right,3.546,1,1,-4,0,1
flippedimg_25,5ee389a50d2973011b577b23,Right,3.627,3,1,-4,0,1
flippedimg_25,5b74641086b60700014ef85c,Right,0.78,1,1,-4,0,1
flippedimg_25,5cab5929291df900165c1ff9,Right,8.882,1,1,-4,0,1
flippedimg_25,5f23525ad6bca511d420f843,Right,1.975,1,1,-4,0,1
flippedimg_25,5e106c1019232d75243365ba,Right,4.665,2,1,-4,0,1
img_27,5d61c41048b8f1001915f01f,Left,0,0,1,4,1,
img_27,5d852b272a218500015f6147,Left,2.474,2,1,4,1,1
img_27,5ea96851a879f0059741c4cb,Left,4.03,1,1,4,1,1
img_27,5dc4177635fd0c2de2b2194a,Left,3.039,1,1,4,1,1
img_27,5c6d74852f21670001f8eacb,Left,2.781,1,1,4,1,1
img_27,5bfda58206c0910001be3d14,Left,0,0,1,4,1,
img_27,5de021677f57a309bfc56ac6,Left,2.92,1,1,4,1,1
img_27,5f23157170fcfd08d6b5ab55,Left,6.415,1,1,4,1,1
img_27,5e90f207f9c9d141f4b14def,Left,1.858,1,1,4,1,1
img_27,5eb07222f887980fd34f6889,Left,6.008,2,1,4,1,1
img_27,5f12702f38faee1c06433bf8,Left,4.606,1,1,4,1,1
img_27,5a140bdc5d06850001b007bd,Left,1.508,1,1,4,1,1
img_27,5ddbeaff798297b3928a0850,Left,2.701,2,1,4,1,1
img_27,5ebdb1414b3e5d0e1e46e76d,Left,3.605,1,1,4,1,1
img_27,5efec0cffc86a73c9cf173e7,Right,6.972,1,1,4,1,0
img_27,5de93d9ae045e206b871af2c,Left,0.952,1,1,4,1,1
img_27,5c8839294b0de2000135270f,Left,0,0,1,4,1,
img_27,5e7885df81606d3f5e51cb5e,Left,6.049,3,1,4,1,1
img_27,5f2351d2da440d0575c75dec,Left,2.742,1,1,4,1,1
img_27,5e9ca45fd662f21da7c2ac6e,Left,2.31,1,1,4,1,1
img_27,5ee389a50d2973011b577b23,Left,6.533,2,1,4,1,1
img_27,5b74641086b60700014ef85c,Left,1.972,1,1,4,1,1
img_27,5cab5929291df900165c1ff9,Left,3.874,1,1,4,1,1
img_27,5f23525ad6bca511d420f843,Left,2.01,1,1,4,1,1
img_27,5e106c1019232d75243365ba,Left,8.102,2,1,4,1,1
flippedimg_9,5d61c41048b8f1001915f01f,Right,0,0,-0,-4,1,
flippedimg_9,5d852b272a218500015f6147,Right,2.342,2,-0,-4,1,1
flippedimg_9,5ea96851a879f0059741c4cb,Right,1.324,1,-0,-4,1,1
flippedimg_9,5dc4177635fd0c2de2b2194a,Right,1.972,2,-0,-4,1,1
flippedimg_9,5c6d74852f21670001f8eacb,Right,2.754,1,-0,-4,1,1
flippedimg_9,5bfda58206c0910001be3d14,Right,0,0,-0,-4,1,
flippedimg_9,5de021677f57a309bfc56ac6,Right,2.873,1,-0,-4,1,1
flippedimg_9,5f23157170fcfd08d6b5ab55,Right,2.834,1,-0,-4,1,1
flippedimg_9,5e90f207f9c9d141f4b14def,Right,3.393,1,-0,-4,1,1
flippedimg_9,5eb07222f887980fd34f6889,Right,4.808,2,-0,-4,1,1
flippedimg_9,5f12702f38faee1c06433bf8,Right,2.864,1,-0,-4,1,1
flippedimg_9,5a140bdc5d06850001b007bd,Right,1.611,1,-0,-4,1,1
flippedimg_9,5ddbeaff798297b3928a0850,Right,1.542,2,-0,-4,1,1
flippedimg_9,5ebdb1414b3e5d0e1e46e76d,Right,3.002,1,-0,-4,1,1
flippedimg_9,5efec0cffc86a73c9cf173e7,Right,1.752,1,-0,-4,1,1
flippedimg_9,5de93d9ae045e206b871af2c,Right,0,0,-0,-4,1,
flippedimg_9,5c8839294b0de2000135270f,Right,2.498,1,-0,-4,1,1
flippedimg_9,5e7885df81606d3f5e51cb5e,Right,4.264,3,-0,-4,1,1
flippedimg_9,5f2351d2da440d0575c75dec,Right,2.357,1,-0,-4,1,1
flippedimg_9,5e9ca45fd662f21da7c2ac6e,Right,2.756,2,-0,-4,1,1
flippedimg_9,5ee389a50d2973011b577b23,Right,2.815,3,-0,-4,1,1
flippedimg_9,5b74641086b60700014ef85c,Right,4.132,2,-0,-4,1,1
flippedimg_9,5cab5929291df900165c1ff9,Right,1.938,1,-0,-4,1,1
flippedimg_9,5f23525ad6bca511d420f843,Right,1.426,1,-0,-4,1,1
flippedimg_9,5e106c1019232d75243365ba,Right,4.377,2,-0,-4,1,1
img_9,5d61c41048b8f1001915f01f,Left,0,0,-0,4,0,
img_9,5d852b272a218500015f6147,Left,3.686,3,-0,4,0,1
img_9,5ea96851a879f0059741c4cb,Left,1.428,1,-0,4,0,1
img_9,5dc4177635fd0c2de2b2194a,Left,2.098,1,-0,4,0,1
img_9,5c6d74852f21670001f8eacb,Left,1.728,1,-0,4,0,1
img_9,5bfda58206c0910001be3d14,Left,0,0,-0,4,0,
img_9,5de021677f57a309bfc56ac6,Left,2.847,1,-0,4,0,1
img_9,5f23157170fcfd08d6b5ab55,Left,3.539,1,-0,4,0,1
img_9,5e90f207f9c9d141f4b14def,Left,1.692,1,-0,4,0,1
img_9,5eb07222f887980fd34f6889,Left,4.847,2,-0,4,0,1
img_9,5f12702f38faee1c06433bf8,Left,2.501,1,-0,4,0,1
img_9,5a140bdc5d06850001b007bd,Left,1.315,1,-0,4,0,1
img_9,5ddbeaff798297b3928a0850,Left,1.833,2,-0,4,0,1
img_9,5ebdb1414b3e5d0e1e46e76d,Left,2.614,1,-0,4,0,1
img_9,5efec0cffc86a73c9cf173e7,Left,4.061,1,-0,4,0,1
img_9,5de93d9ae045e206b871af2c,Left,1.385,1,-0,4,0,1
img_9,5c8839294b0de2000135270f,Left,2.021,1,-0,4,0,1
img_9,5e7885df81606d3f5e51cb5e,Left,3.475,3,-0,4,0,1
img_9,5f2351d2da440d0575c75dec,Left,1.809,1,-0,4,0,1
img_9,5e9ca45fd662f21da7c2ac6e,Left,1.118,1,-0,4,0,1
img_9,5ee389a50d2973011b577b23,Left,1.493,2,-0,4,0,1
img_9,5b74641086b60700014ef85c,Left,1.25,1,-0,4,0,1
img_9,5cab5929291df900165c1ff9,Left,4.614,1,-0,4,0,1
img_9,5f23525ad6bca511d420f843,Left,1.988,2,-0,4,0,1
img_9,5e106c1019232d75243365ba,Left,6.659,2,-0,4,0,1
img_10,5d61c41048b8f1001915f01f,Left,4.098,2,1,1.4,1,1
img_10,5d852b272a218500015f6147,Left,3.52,3,1,1.4,1,1
img_10,5ea96851a879f0059741c4cb,Left,1.403,1,1,1.4,1,1
img_10,5dc4177635fd0c2de2b2194a,Left,3.177,1,1,1.4,1,1
img_10,5c6d74852f21670001f8eacb,Left,1.318,1,1,1.4,1,1
img_10,5bfda58206c0910001be3d14,Left,0,0,1,1.4,1,
img_10,5de021677f57a309bfc56ac6,Left,3.032,1,1,1.4,1,1
img_10,5f23157170fcfd08d6b5ab55,Left,2.546,1,1,1.4,1,1
img_10,5e90f207f9c9d141f4b14def,Left,1.07,1,1,1.4,1,1
img_10,5eb07222f887980fd34f6889,Left,6.899,3,1,1.4,1,1
img_10,5f12702f38faee1c06433bf8,Right,4.057,1,1,1.4,1,0
img_10,5a140bdc5d06850001b007bd,Left,2.006,1,1,1.4,1,1
img_10,5ddbeaff798297b3928a0850,Left,1.701,2,1,1.4,1,1
img_10,5ebdb1414b3e5d0e1e46e76d,Left,2.404,1,1,1.4,1,1
img_10,5efec0cffc86a73c9cf173e7,Left,2.336,1,1,1.4,1,1
img_10,5de93d9ae045e206b871af2c,Left,0.666,1,1,1.4,1,1
img_10,5c8839294b0de2000135270f,Left,1.912,1,1,1.4,1,1
img_10,5e7885df81606d3f5e51cb5e,Left,8.673,3,1,1.4,1,1
img_10,5f2351d2da440d0575c75dec,Left,3.64,1,1,1.4,1,1
img_10,5e9ca45fd662f21da7c2ac6e,Left,1.653,1,1,1.4,1,1
img_10,5ee389a50d2973011b577b23,Left,4.174,3,1,1.4,1,1
img_10,5b74641086b60700014ef85c,Left,0,0,1,1.4,1,
img_10,5cab5929291df900165c1ff9,Left,3.225,1,1,1.4,1,1
img_10,5f23525ad6bca511d420f843,Left,6.553,1,1,1.4,1,1
img_10,5e106c1019232d75243365ba,Left,7.215,2,1,1.4,1,1
flippedimg_53,5d61c41048b8f1001915f01f,Right,2.984,1,1,-0.8,0,1
flippedimg_53,5d852b272a218500015f6147,Right,4.436,3,1,-0.8,0,1
flippedimg_53,5ea96851a879f0059741c4cb,Right,2.854,1,1,-0.8,0,1
flippedimg_53,5dc4177635fd0c2de2b2194a,Right,5.892,1,1,-0.8,0,1
flippedimg_53,5c6d74852f21670001f8eacb,Right,4.694,1,1,-0.8,0,1
flippedimg_53,5bfda58206c0910001be3d14,Right,0.17,1,1,-0.8,0,1
flippedimg_53,5de021677f57a309bfc56ac6,Right,2.663,1,1,-0.8,0,1
flippedimg_53,5f23157170fcfd08d6b5ab55,Right,5.188,2,1,-0.8,0,1
flippedimg_53,5e90f207f9c9d141f4b14def,Right,3.324,1,1,-0.8,0,1
flippedimg_53,5eb07222f887980fd34f6889,Right,4.725,2,1,-0.8,0,1
flippedimg_53,5f12702f38faee1c06433bf8,Right,3.728,1,1,-0.8,0,1
flippedimg_53,5a140bdc5d06850001b007bd,Left,9.4,2,1,-0.8,0,0
flippedimg_53,5ddbeaff798297b3928a0850,Right,3.07,2,1,-0.8,0,1
flippedimg_53,5ebdb1414b3e5d0e1e46e76d,Right,3.564,1,1,-0.8,0,1
flippedimg_53,5efec0cffc86a73c9cf173e7,Right,2.393,2,1,-0.8,0,1
flippedimg_53,5de93d9ae045e206b871af2c,Right,4.003,1,1,-0.8,0,1
flippedimg_53,5c8839294b0de2000135270f,Right,3.352,1,1,-0.8,0,1
flippedimg_53,5e7885df81606d3f5e51cb5e,Left,6.494,4,1,-0.8,0,0
flippedimg_53,5f2351d2da440d0575c75dec,Right,2.254,1,1,-0.8,0,1
flippedimg_53,5e9ca45fd662f21da7c2ac6e,Right,1.774,1,1,-0.8,0,1
flippedimg_53,5ee389a50d2973011b577b23,Right,5.02,4,1,-0.8,0,1
flippedimg_53,5b74641086b60700014ef85c,,0,0,1,-0.8,0,
flippedimg_53,5cab5929291df900165c1ff9,Right,2.215,1,1,-0.8,0,1
flippedimg_53,5f23525ad6bca511d420f843,Right,1.684,1,1,-0.8,0,1
flippedimg_53,5e106c1019232d75243365ba,Right,8.366,3,1,-0.8,0,1
img_53,5d61c41048b8f1001915f01f,Right,2.002,1,1,0.8,1,0
img_53,5d852b272a218500015f6147,Left,3.78,3,1,0.8,1,1
img_53,5ea96851a879f0059741c4cb,Left,1.824,1,1,0.8,1,1
img_53,5dc4177635fd0c2de2b2194a,Left,6.635,2,1,0.8,1,1
